1.1.	якшамковонь васенце чи
16.8.	умарьковонь кемготовоце чи

17.8.	умарьковонь кемзисемгеце чи

18.8.	умарьковонь кемгавксовоце чи

19.8.	умарьковонь кевейксэеце чи

20.8.	умарьковонь комсеце чи

21.8.	умарьковонь комсьвейкееце чи

22.8.	умарьковонь комськавтовоце чи

23.8.	умарьковонь комськолмовоце чи

24.8.	умарьковонь комсьнилеце чи

25.8.	умарьковонь комсьветееце чи

26.8.	умарьковонь комськотовоце чи

27.8.	умарьковонь комсьсисемгеце чи

28.8.	умарьковонь комськавксовоце чи

29.8.	умарьковонь комсьвейксэеце чи

30.8.	умарьковонь колоньгеменце чи

31.8.	умарьковонь колоньгемень васенце чи

1.9.	таштамковонь васенце чи

2.9.	таштамковонь омбоце чи

3.9.	таштамковонь колмоце чи

4.9.	таштамковонь нилеце чи

5.9.	таштамковонь ветеце чи

6.9.	таштамковонь котоце чи

7.9.	таштамковонь сисемце чи

8.9.	таштамковонь кавксоце чи

9.9.	таштамковонь вейксэце чи

10.9.	таштамковонь кеменце чи

11.9.	таштамковонь кевейкееце чи

12.9.	таштамковонь кемгавтовоце чи

13.9.	таштамковонь кемголмовоце чи

14.9.	таштамковонь кемнилеце чи

15.9.	таштамковонь кеветееце чи

16.9.	таштамковонь кемготовоце чи

17.9.	таштамковонь кемзисемгеце чи

18.9.	таштамковонь кемгавксовоце чи

19.9.	таштамковонь кевейксэеце чи

20.9.	таштамковонь комсеце чи

21.9.	таштамковонь комсьвейкееце чи

22.9.	таштамковонь комськавтовоце чи

23.9.	таштамковонь комськолмовоце чи

24.9.	таштамковонь комсьнилеце чи

25.9.	таштамковонь комсьветееце чи

26.9.	таштамковонь комськотовоце чи

27.9.	таштамковонь комсьсисемгеце чи

28.9.	таштамковонь комськавксовоце чи

29.9.	таштамковонь комсьвейксэеце чи

30.9.	таштамковонь колоньгеменце чи

1.10.	ожоковонь васенце чи

2.10.	ожоковонь омбоце чи

3.10.	ожоковонь колмоце чи

4.10.	ожоковонь нилеце чи

5.10.	ожоковонь ветеце чи

6.10.	ожоковонь котоце чи

7.10.	ожоковонь сисемце чи

8.10.	ожоковонь кавксоце чи

9.10.	ожоковонь вейксэце чи

10.10.	ожоковонь кеменце чи

11.10.	ожоковонь кевейкееце чи

12.10.	ожоковонь кемгавтовоце чи

13.10.	ожоковонь кемголмовоце чи

14.10.	ожоковонь кемнилеце чи

15.10.	ожоковонь кеветееце чи

16.10.	ожоковонь кемготовоце чи

17.10.	ожоковонь кемзисемгеце чи

18.10.	ожоковонь кемгавксовоце чи

19.10.	ожоковонь кевейксэеце чи

20.10.	ожоковонь комсеце чи

21.10.	ожоковонь комсьвейкееце чи

22.10.	ожоковонь комськавтовоце чи

23.10.	ожоковонь комськолмовоце чи

24.10.	ожоковонь комсьнилеце чи

25.10.	ожоковонь комсьветееце чи

26.10.	ожоковонь комськотовоце чи

27.10.	ожоковонь комсьсисемгеце чи

28.10.	ожоковонь комськавксовоце чи

29.10.	ожоковонь комсьвейксэеце чи

30.10.	ожоковонь колоньгеменце чи

31.10.	ожоковонь колоньгемень васенце чи

1.11.	сундерьковонь васенце чи

2.11.	сундерьковонь омбоце чи

3.11.	сундерьковонь колмоце чи

4.11.	сундерьковонь нилеце чи

5.11.	сундерьковонь ветеце чи

6.11.	сундерьковонь котоце чи

7.11.	сундерьковонь сисемце чи

8.11.	сундерьковонь кавксоце чи

9.11.	сундерьковонь вейксэце чи

10.11.	сундерьковонь кеменце чи

11.11.	сундерьковонь кевейкееце чи

12.11.	сундерьковонь кемгавтовоце чи

13.11.	сундерьковонь кемголмовоце чи

14.11.	сундерьковонь кемнилеце чи

15.11.	сундерьковонь кеветееце чи

16.11.	сундерьковонь кемготовоце чи

17.11.	сундерьковонь кемзисемгеце чи

18.11.	сундерьковонь кемгавксовоце чи

19.11.	сундерьковонь кевейксэеце чи

20.11.	сундерьковонь комсеце чи

21.11.	сундерьковонь комсьвейкееце чи

22.11.	сундерьковонь комськавтовоце чи

23.11.	сундерьковонь комськолмовоце чи

24.11.	сундерьковонь комсьнилеце чи

25.11.	сундерьковонь комсьветееце чи

26.11.	сундерьковонь комськотовоце чи

27.11.	сундерьковонь комсьсисемгеце чи

28.11.	сундерьковонь комськавксовоце чи

29.11.	сундерьковонь комсьвейксэеце чи

30.11.	сундерьковонь колоньгеменце чи

1.12.	ацамковонь васенце чи

2.12.	ацамковонь омбоце чи

3.12.	ацамковонь колмоце чи

4.12.	ацамковонь нилеце чи

5.12.	ацамковонь ветеце чи

6.12.	ацамковонь котоце чи

7.12.	ацамковонь сисемце чи

8.12.	ацамковонь кавксоце чи

9.12.	ацамковонь вейксэце чи

10.12.	ацамковонь кеменце чи

11.12.	ацамковонь кевейкееце чи

12.12.	ацамковонь кемгавтовоце чи

13.12.	ацамковонь кемголмовоце чи

14.12.	ацамковонь кемнилеце чи

15.12.	ацамковонь кеветееце чи

16.12.	ацамковонь кемготовоце чи

17.12.	ацамковонь кемзисемгеце чи

18.12.	ацамковонь кемгавксовоце чи

19.12.	ацамковонь кевейксэеце чи

20.12.	ацамковонь комсеце чи

21.12.	ацамковонь комсьвейкееце чи

22.12.	ацамковонь комськавтовоце чи

23.12.	ацамковонь комськолмовоце чи

24.12.	ацамковонь комсьнилеце чи

25.12.	ацамковонь комсьветееце чи

26.12.	ацамковонь комськотовоце чи

27.12.	ацамковонь комсьсисемгеце чи

28.12.	ацамковонь комськавксовоце чи

29.12.	ацамковонь комсьвейксэеце чи

30.12.	ацамковонь колоньгеменце чи

31.12.	ацамковонь колоньгемень васенце чи

