# verbs_morph
# =================

# Bárrastávval
# ================
astat	å ha tid
riŋget	å ringe
sáddet	å sende
sáltet	å salte
bállet	å få fred til, å få anledning til
čurvet	å rope en gang
njuiket	å hoppe en gang
dánset	å danse
dinet	å tjene
dohppet	å gripe en gang, å nappe en gang
fuobmát	å oppdage
gávdnot	å finnes, å bli funnet
láhppot	å komme bort
govvet	å fotografere
murjet	å plukke bær
murret	å sage ved
lubmet	å plukke moltebær
jokŋet	å plukke tyttebær
gullot	å høres
heaŋgát	å henge
heivet	å passe
henget	å henge opp
oidnot	å sees, å bli sett
