# nouns_morph
# =================


# HUMANS AND HUMANLIKES
# =====================

# Bárrastávval
# FAMILY
áddjá	bestefar, gammel mann
čohkun	kam
dávvir	gjenstand, ting
dihtor	datamaskin, PC
fidjol	fiolin
gietkka	komse
gáffal	gaffel
gálggan	kam
mohtor	motor
muhtter	mutter
viessočoavdda	husnøkkel

# AMOUNTS
# ==========

# Bárrastávval
bealli	halvdel, side
bihttá	stykke, lekse
haddi	pris
kilo	kilo
oassi	del, andel
ruvdno	krone

# Bárahisstávval
lihtter	liter


# TIME
# ==========

# Bárrastávval
áigi	tid
árga	hverdag
bearjadat	fredag
beassášbeaivi	påskedag
beassášlávvordat	påskeaften
beassášruohtta	påskeaften
beassášluopmu	påskeferie
boddu	leksjon, pause, friminutt
boradanboddu	spisepause
borgemánnu	august
borranboddu	spisepause
cuoŋománnu	april
čakča	høst
čakčadálvi	seinhøst
čakčageassi	ettersommer
čakčaluopmu	høstferie
čakčamánnu	september
čakčamánnu	september
čuoiganbeaivi	skidag
diibmu	klokke, time
disdat	tirsdag
duorastat	torsdag
dálvi	vinter
eahketbodda	kveldsstund
friijaminuhtta	friminutt
gaskaidja	midnatt
gaskabeaivi	midt på dagen
gaskavahkku	onsdag
gáffeboddu	kaffepause
geasseluopmu	sommerferie
geassemánnu	juni
geassi	sommer
giđđa	vår
giđđadálvi	ettervinter
giđđageassi	forsommer
golggotmánnu	oktober
guhkesbearjadat	langfredag
guovvamánnu	februar
hellodagat	pinse
helloduorastat	kristihimmelfartsdag
idja	natt
jahki	år
juovlamánnu	desember
juovllat	jul
luopmu	ferie
lávvardat	lørdag
lávvordat	lørdag
maŋŋebárga	tirsdag
miessemánnu	mai
mihcamárat	sankthans
minuhtta	minutt
mánnodat	mandag
mánnu	måne, måned
njukčamánnu	mars
ođđajagiruohtta	nyttårsaften
ođđabeairuohtta	nyttårsaften
ohcanáigi	søknadsfrist
ohcanáigi	søknadsfrist
ođđajaggemánnu	januar
pálbmasotnabeaivi	palmesøndag
riegádanbeaivi	fødselsdag
riegádanbeaivi	fødselsdag, bursdag
sevdnjesáigi	mørketid
skábma	mørketid
skábmamánnu	november
skilleduorastat	skjærtorsdag
skuvlabeaivi	skoledag
skuvladiibmu	skoletime
sotnabeaivi	søndag
suoidnemánnu	juli
vahkku	uke
vahkkoloahppa	helg
vuossárga	mandag

# Bárahisstávval
beassážat	påske
eahket	kveld
iđit	morgen

# CLOTHINGS
# ==========

# Bárrastávval
avvi	belte
beaska	pesk
boallu	knapp
boblejáhkka	boblejakke
buvssat	bukse
báidi	skjorte
čalbmelásat	briller
čalbmeláset	briller
čeabetliidni
čikŋa	pynt
čuvla	kjole
diehppi	dusk
dievdogákti	herrekofte
dorka	dork
fáhcca	vott, vante
gákti	kofte
háhtta	hatt
hárjehallanjáhkka	treningsjakke
holbi	påsydd pynt på koftekanten
jáhkka	jakke
joggeskuovva	joggesko
liidnegákti	bomullskofte
liidni	halstørkle, tørkle
láđđegákti	kledekofte
nissongákti
raddeleahppi	brystduk
risku
silkečuvla	silkekjole
skuovva sko
soadji	erme, vinge, fløy
soadjá	erme, vinge, fløy
šearfa
suohkku	sokk
ullobáidi	ullgenser
vuolpu	skjørt

# Bárahisstávval
arvebivttas	reinklesplagg
árgabivttas	hverdagsklesplagg
bargobivttas	arbeidsklesplagg
bivttas	klesplagg
boagán	belte
boŋkkus	bonkusvott
čikŋabivttas	pynteklesplagg
čuoiganbuvssat	skibukse
dálvebivttas	vinterklesplagg
dievdogahpir	herrelue
doŋgeribuvssat	dongeribukser
gahpir	lue
gaibagahpir	skyggelue
gáma	skalle, komag, sko
gummestevvelat	gummistøvel
geassebivttas	sommerklesplagg
goikket	skalle
gállot	skalle
hárjehallanbivttas	trenngsklær
hárjehallanbuvssat	treningsbukse
idjabivttas	nattdrakt
kuššát	skjerf, ullskjerf, halstørkle
náhkkebivttas	skinnklesplagg
niibeboagán	knivbelte
nissongahpir
nuvttot	skalle
násteboagán	belte med sølvknapper
olgguldasbivttas	ytterklær
sisbáidi	undertrøye
sisbuvssat	underbukse
stevvel	støvvel
suohkkobuvssat	strømpebukse
vuotta	komagband, skalleband, komagbånd, skallebånd


# NATURE
# ==========

# Bárrastávval
albmi	himmel
áibmu	luft
baldu	isflak
balva	sky
bealdu	åker, jord
beassi	reir, rede
biedju	hi
bievla	barmark
bovdna	tue
cuoŋu	skare
dolla	ild, bål
eatnu	stor elv, flod
fiervá	fjære
gáddi	strand
geađgi	stein
gieddi	eng, voll
goikemuorra	tørr ved
golli	gull
jávregáddi	strand
jávri	vann, innsjø, vatn
jeaggi	myr
jiekŋa	is
johka	elv
luondu	natur
meahcci	utmark, ødemark, ubebygd område
mearra	sjø, hav
mearragáddi	kyst
mielleravda	ved elvemelen
njárga	nes, odde
nuorri	sund
násti	stjerne
njavvi	lite stryk
rudni	hull i isen
ruovdi	jern
silba	sølv
skálžu	skjell
suovva	røyk (!)
vuotna	fjord
vuovdi	skog
vággi	dal
várri	fjell

# Bárahisstávval
beaivváš	sol, solskinn
duottar	vidde
eana	jord
eanan	jord
eatnan	jord
jogaš	bekk, liten elv

# Kontrákta
láttu	vanndam, dam
suolu	øy, holme



# PLANTS
# ==========

# Bárrastávval
beahci	furu
čáhppesmuorji	krøkebær, krekling
eananmuorji	jordbær
eatnanmuorji	jordbær
gordni	korn
guossa	gran
jokŋa	tyttebær
lasta	blad, løv
lieđđi	blomst
muorji	bær
muorra	tre
nisogordni	hvetekorn
oaksi	grein
rássi	plante, gress, blomst
soahki	bjørk
suoidni	gress, sennegress


# Bárahisstávval
guoppar	sopp
jieret	rips
luomi	molte
láttat	molte
sarrit	blåbær
váran	bringebær

# Kontrákta
deappu	tang


# WEATHER
# ==========

# Bárrastávval
arvi	regn
arveoakti	regnskur
bajándálki	tordenvær
beaivi	dag, sol
beaivvádat	solskinn
beavža	vind fra øst
biegga	vind
borga	snøfokk
čáppadálki	finvær
dálki	vær
fiertu	oppholdsvær
goalki	vindstille
guoldu	sno, snøfokk, fokk
guovssahasat	nordlys
hieibma	
jiella	
mierká
muohtaoakti
oakti
obbadálki
orkána
savda
siivu	føre
skoaddu
stoarbma
šlahtti

# Bárahisstávval
buolaš	kulde
gaskaijabeaivváš	midnattsol
muohta	snø


# FOOD - DRINKS - TOBACCO
# =======================

# Bárrastávval
appelsiidna	appelsin
čáhci	vann
biebmu	mat
biergu	kjøtt
bihpporat	pepper
bohccobiergu	reinkjøtt
borramuš	mat
bruvsa	brus
buvru	grøt
dáigi	deig
deadja	te
deajat	ukokt te
eahketborramuš	kveldsmat, aftensmat
garraláibi	knekkebrød
gaskabeaivvit	middag
goikebiergu	tørrkjøtt, tørkakjøtt
goikeguolli	tørrfisk
groavaláibi	grovbrød
guollegáhkku	fiskekake
gáfet	ukokt kaffe
gáffe	kaffe
gáhkku	kake
iđitbiebmu	frokost
juhkamuš	drikke
jáffut	mel
jáfut	mel
jeasta	gjær
kakáo	kakao
láibesuvli	pålegg
láibevajahas	brødskive
láibi	brød
lákca	fløte
lákcagáhkku	bløtkake
liepma	kraft	
manni	egg
málli	suppe, blodvelling
márfi	pølse
majonesa	majones
mielki	melk
monni	egg
mullju	mølje
muorjemeastu	syltetøy
niesti	niste
nisoláibi	loff
pizza	pizza
risenbuvru	risengrynsgrøt
roavvaláibi	grovbrød
rušpi	gulrot
sákta	saft
sálteluossa	spekelaks, saltlaks
sáltemárfi	spekepølse
sálttit	salt
suovasbiergu	røykakjøtt
šuhkoládagáhkku	sjokoladekake
vaffelmávka	vaffelrøre
vajahas	brødskive
viidni	vin, brennevin
vuodja	smør
vuodjaláibi	smørbrød
vuoivvasmeastu	leverpostei
vuolla	øl
vuostá	ost
vuostáláibi	ostesmørbrød

# Bárahisstávval
ađa	margbein
beaivvášláibbáš	solbolle
biergomális	kjøttsuppe
biđus	kjøttsuppe
buđet	potet
duhpát	tobakk
eahppel	eple
ebel	eple
gumppus	blodklubb, blodbolle
láiberáhkadanneavva	brødoppskrift
mális	kokt mat, middag, suppe
njálggus	drops, slikkeri, godteri
risen	ris
sirát	sirup
sohkar	sukker
suohkat	grøt
vuoivvasnjuvddus	leverpostei
vuola	øl


# TRAVELLING
# ==========

# Bárrastávval

beanaráidu	hundespann
beassášmátki	påsketur
biila	bil
bileahtta	billett
bussa	buss
busse	buss
bálggis	sti, veg, vei
dákse	taksi, drosje
drošše	drosje, taksi
geaidnu	veg, vei, retning
gielká	kjelke
gikta	skyss
gálvu	bagasje
guollebiila	fiskebil
guorbmebiila	lastebil
johtalusgalba	trafikkskilt
luodda	sti, spor, vei, veg
láhttu	løype
mátki	reise
miila	mil
mohtorgielká	skuter
mopeda	moped
noađđi	bør, byrde, sekk
oađđinseahkka	sovepose
ráidu	raide, serie, rekke
reahka	slede
rovvi	bru, bro
sildi	bru, bro
sáhttu	skyss
šaldi	bru, bro
toga	tog
tráktor	traktor
táksi	taksi, drosje
vanca	båt
vuodjingoarta	sertifikat
vuodjinkoarta	sertifikat

# Bárahisstávval
fanas	båt
geres	pulk
jieŋas	isbru, isvei
sabet	ski
sihkkel	sykkel
sihkkelat	sykkel
skohter	skuter


# ANIMALS
# ==========

# Bárrastávval
áldu	simle
báiski	fiskemåke
bárbmoloddi	trekkfugl
beatnagaš	liten hund
biebmoealli	kjæledyr
bierdna	bjørn
bohkká	bukk
burru	okse
bussá	katt
bussá	katt
ciiku	tispe
čivga	dyreunge
čuoika	mygg
čuovža	sik
dámmá	merr
divri	insekt, dyr
dorski	torsk
ealli	dyr
eallu	reinflokk
gáhttu	katt
gáica	geit
gáiru	svartbak
gálbi	kalv
gihcci	geitekje, kjilling
goddi	villrein
gumpe	ulv
guolli	fisk
guovža	bjørn
gussa	ku
guigu	kvige
heargi	kjørerein
heasta	hest
heavdni	edderkopp
ivguheasta	lyngshest
loddi	fugl
luossa	laks
mearraguolli	saltvannsfisk
miessi	reinkalv
návdi	ulv, rovdyr
njiŋŋálas
njukča	svane
ore
rávdu	røye
sáidi	sei
sáivačáhceguolli	ferskvannsfisk
sávza	sau
spiidni	gris
spiinnečivga
vársá	føll
vársi
vierca	vær
vuoksá	okse
vuoncáčivga

# Bárahisstávval
beana	hund
čearpmat	ett-årig reinkalv
čearret	rødnebbterne
dápmot	ørret
guovssat	lavskrike
muogir	knott
njoammil	hare
rieban	rev
rievssat	rype
sallit	sild
sarvvis	reinsbukk
sábin	mus
sáhpán	mus
šibit	husdyr
varis
vuonccis
vuoncávaris
vuonjal

# Kontrákta
boazu	rein, reinsdyr
láppis	lam
niesteboazu	nisterein
vielppis	valp



# DOCUMENTS
# ==========

# Bárrastávval
aviisa	avis
bargobihttá	øving, oppgave
beaivegirji	dagbok
bláđđi	ukeblad, blad
boasta	post
breava	brev
čállingirji	skrivebok
dajahus	joiketekst
dajaldat	uttrykk
dearvvuohta	hilsen
dikta	dikt
e-boasta	epost, mail
girji	bok
govvagirji	bildebok
govvaráidu	tegneserie, bildeserie
lávllagirji	sangbok
leaksu	lekse
lohkamuš	lesestoff
lohkangirji	lesebok
mánáidgirji	barnebok
muitalus	fortelling
namahus	benevnelse
oahppogirji	lærebok
poasta	post
reive	brev
riegádanbeaivvedearvvuohta	førdelsdagshilsen
ruovttusiidu	hjemmeside
sáhka	nyhet
sálbmagirji	salmebok
sátnegirji	ordbok
sátni	ord
skuvlagirji	skolebok
teaksta	tekst

# Bárahisstávval
biibal	bibel
cealkka	setning
čála	skriv, skrift
čálus	skriv
máinnas	eventyr, sagn
ođas	nyhet
Vulle Vuojáš	Donald Duck


# CONTAINERS
# ==========

# Bárrastávval
báhti	gryte
bumbá	kiste
gássa	kasse
kássa	kasse
giehtalávka	handveske, håndveske
giisá	rund kiste
gohppu	kopp
kohppa	kopp
lássa	glass
láse	glass
lávka	ryggsekk, veske
lihtti	bolle
málesruitu	middagsgryte
mugga	mugge
ruitu	gryte
seahkka	sekk
skáhppu	boks


# PLACES
# ==========

# Bárrastávval
báiki	plass, sted
deaivvadansadji	møtested, møteplass
gielda	kommune
gilli	bygd
guovlu	område, strøk
lihtti	kar
máilbmi	verden
márkanábáiki	kirkested
olgoriika	utlandet
riika	land
riikarádji	riksgrense
riikarádjá	riksgrense
rádji	grense
rádjá	grense
sadji	sted, plass
stáhta	stat

# Bárahisstávval
gávpot	by
oaivegávpot	hovedstad	
suohkan	kommune


# HANDICRAFTS
# ===========

# Bárrastávval
áibmi	skinnål, ime
árpu	tråd
báhkki	rirkule
bohcconáhkki	reinskinn	
čoarvebaste	hornskje
čoarveduodji	hornsløyd
čoarveniibi	hornkniv
čoarvi	horn
diehppi	dusk
dorte	rokk
duodji	duodji, sløyd, husflid, handarbeid
dákti	bein, ben, knokkel
fearga	farge
goarrunmášiidna	symaskin
guksi	trekopp, øse
ivdni	farge
láđđi	klede
láigi	garn
náhkki	skinn
nállu	nål
riebangolli	kråkesølv
sávzzanáhkki	saueskinn	
sisti	garvet reinskinn
skearát	saks
skárrit	saks
ullu	ull

# Bárahisstávval
gámagoarrun	komagsying, skallesying


# FEELINGS
# ==========

# Bárrastávval
ballu	redsel, frykt
borranmiella	matlyst
goiku	tørst
heahti	nød, plage
hállu	lyst
illu	glede
miella	lyst
moraš	sorg
nealgi	sult, hunger
riidu	strid, krangel
ráhkesvuohta	kjærlighet
ustitvuohta	vennskap
váivi	plage, besvær

# ABSTRACTS
# ==========

# Bárrastávval
álgu	begynnelse, start
árbevierru	tradisjon
árvu	verdi
ávki	nytte
ášši	sak
bassi	hellig
čilgehus		forklaring
dáhpáhus	hendelse
dárbu	behov
dássi	nivå
diehtu	opplysning
dikšu	pleie, pleier
dilli	anledning, tilstand
duohtavuohta	sannhet
geahči	ende
giitu	takk
gáibádus		krav
goargu	etternavn, slektsnavn
hoahppu	hast
lihkku	lykke
lihkohisvuohta	ulykke
loahppa	slutt, ende
loatna	lån
lohpi	lov
máhttu	kunnskap
namma	navn
niehku	drøm
osku	tro, tru
ovdanamma	fornavn
riekti	rettighet, rett
sivva	årsak, feil, grunn, skyld
sávaldat	ønske
sohkanamma	slektsnavn, etternavn
vuohki	måte
vejolašvuohta	mulighet
vuoigatvuohta	rettighet, rett
vuođđu	grunn, basis
váldoášši	hovedsak

# Bárahisstávval
doarjja	støtte
giittus	takk	
jurdda	tanke, ide
oaivil	mening
ulbmil	mål, målsetning


# JOB
# ==========

# Bárrastávval
bargosadji	arbeidsplass
bargu	arbeid
bivdu	fiske, fangst, jakt
bálká	lønn
eanandoallu	jordbruk
eatnandoallu	jordbruk
fabrihkka	fabrikk
fitnodat	bedrift
guolásteapmi	fiske
guollebivdu	fiske
ládju	slåttonn
mearrabivdu	fiske
sávzadoallu	sauehold
šibitdállu	gårdsbruk med husdŧr
virgi	stilling

# ORGANIZATION
# ==========

# Bárrastávval
čájehus	utstilling
čájálmas	forestilling
eiseválddit	myndigheter
feasta	fest
filbma	film
gásta	dåp
gilisearvi	bygdelag
gilvu	konkurranse
heajat	bryllup
juovlafeasta	julefest
konfirmašuvdna	konfirmasjon
konsearta	konsert
máilmmicup	verdenscup
Ovttasstahtton Nášuvnnat
searvi	forening, lag
stivra	styre
teáhter	teater

# Bárahisstávval
beassášmárkan	påskemarked, påskestevne
čoahkkin	møte
čuoigan	skirenn
heargevuodjin	reinkappkjøring
márkan	marked


# SOUNDS
# ========

# Bárrastávval
jietna	stemme, lyd
kaseahtta	kasett
lávlla	sang
luohti	joik
musihkka	musikk
skearru	plate


# ACTIONS
# ========

# Bárrastávval
cummá	kyss


# SCHOOL
# ========

# Bárrastávval
bieguheapmi	mobbing
birasoahppu	orienteringsfag, miljøfag
bihttá	lekse, oppgave, bit, hjemmelekse
boddu	friminutt
čállingirji	skrivebok
čuoiganbeaivi	skidag
dárogiella	norsk
diibmoplána	timeplan
duodjelatnja	sløydrom, handarbeidsrom
duodji	duodji
eallinaoidnu	livssyn
eŋgelasgiella	engelsk
etihkka	etikk
fága	fag
joavkobargu	gruppearbeid
klássalantja	klasserom
kristtalašvuohta	kristendom
lášmmohallan	gymnastikk
leaksu	lekse, hjemmelekse
linjála	linjal
lohkanbihttá	lesestykke
lohkangirji	lesebok
luohkkálatnja	klasserom
matematihkka	matematikk
musihkka	musikk
oktobargu	individuelt arbeid
pulta	pult
ruovttubargu	hjemmelekse, lekse
ruovttudoallu	heimkunnskap
sámegiella	samisk
servodatoahppu	samfunnsfag
skuvlafága	skolefag
skuvlalatnja	klasserom
verddeskvula	vennskapsskole

# Bárahisstávval
távval	tavle

# CHRISTMAS
# =========

# Bárrastávval
juovlačikŋa
juovlakoarta
juovlamuorra
juovlalávlla
juovlapáhkka
juovlaskeaŋka

# Bárahisstávval
ginttal	stearinlys

# PLAYING
# =======
čierastallanluohkká	akebakke, slalombakke
dihtorspeallu	dataspill
giehtaspábba	håndball, handball
speallu	spill
stoahkanapparáhtta	lekeapparat
vávvá	dukke, dokke


# Bárahisstávval
čieran	akebrett

# NEW WORDS
	plastihkka	plastikk
	bassemuorra	stekspidd
	njoammilbivdi	harejeger
	nuoraidbargi	ungdomsarbeider
