1.1.	januaarikuun ensimäinen päivä
19.10.	oktooperikuun yhđeksestoista päivä

20.10.	oktooperikuun kahđeskymmenes päivä

21.10.	oktooperikuun kahđeskymmenesensimäinen päivä

22.10.	oktooperikuun kahđeskymmenestoinen päivä

23.10.	oktooperikuun kahđeskymmeneskolmas päivä

24.10.	oktooperikuun kahđeskymmenesneljes päivä

25.10.	oktooperikuun kahđeskymmenesviiđes päivä

26.10.	oktooperikuun kahđeskymmeneskuuđes päivä

27.10.	oktooperikuun kahđeskymmenesseittemes päivä

28.10.	oktooperikuun kahđeskymmeneskahđekses päivä

29.10.	oktooperikuun kahđeskymmenesyhđekses päivä

30.10.	oktooperikuun kolmaskymmenes päivä

31.10.	oktooperikuun kolmaskymmenesensimäinen päivä

1.11.	novemperikuun ensimäinen päivä

2.11.	novemperikuun toinen päivä

3.11.	novemperikuun kolmas päivä

4.11.	novemperikuun neljes päivä

5.11.	novemperikuun viiđes päivä

6.11.	novemperikuun kuuđes päivä

7.11.	novemperikuun seittemes päivä

8.11.	novemperikuun kahđekses päivä

9.11.	novemperikuun yhđekses päivä

10.11.	novemperikuun kymmenes päivä

11.11.	novemperikuun yhđestoista päivä

12.11.	novemperikuun kahđestoista päivä

13.11.	novemperikuun kolmastoista päivä

14.11.	novemperikuun neljestoista päivä

15.11.	novemperikuun viiđestoista päivä

16.11.	novemperikuun kuuđestoista päivä

17.11.	novemperikuun seittemestoista päivä

18.11.	novemperikuun kahđeksestoista päivä

19.11.	novemperikuun yhđeksestoista päivä

20.11.	novemperikuun kahđeskymmenes päivä

21.11.	novemperikuun kahđeskymmenesensimäinen päivä

22.11.	novemperikuun kahđeskymmenestoinen päivä

23.11.	novemperikuun kahđeskymmeneskolmas päivä

24.11.	novemperikuun kahđeskymmenesneljes päivä

25.11.	novemperikuun kahđeskymmenesviiđes päivä

26.11.	novemperikuun kahđeskymmeneskuuđes päivä

27.11.	novemperikuun kahđeskymmenesseittemes päivä

28.11.	novemperikuun kahđeskymmeneskahđekses päivä

29.11.	novemperikuun kahđeskymmenesyhđekses päivä

30.11.	novemperikuun kolmaskymmenes päivä

1.12.	desemperikuun ensimäinen päivä

2.12.	desemperikuun toinen päivä

3.12.	desemperikuun kolmas päivä

4.12.	desemperikuun neljes päivä

5.12.	desemperikuun viiđes päivä

6.12.	desemperikuun kuuđes päivä

7.12.	desemperikuun seittemes päivä

8.12.	desemperikuun kahđekses päivä

9.12.	desemperikuun yhđekses päivä

10.12.	desemperikuun kymmenes päivä

11.12.	desemperikuun yhđestoista päivä

12.12.	desemperikuun kahđestoista päivä

13.12.	desemperikuun kolmastoista päivä

14.12.	desemperikuun neljestoista päivä

15.12.	desemperikuun viiđestoista päivä

16.12.	desemperikuun kuuđestoista päivä

17.12.	desemperikuun seittemestoista päivä

18.12.	desemperikuun kahđeksestoista päivä

19.12.	desemperikuun yhđeksestoista päivä

20.12.	desemperikuun kahđeskymmenes päivä

21.12.	desemperikuun kahđeskymmenesensimäinen päivä

22.12.	desemperikuun kahđeskymmenestoinen päivä

23.12.	desemperikuun kahđeskymmeneskolmas päivä

24.12.	desemperikuun kahđeskymmenesneljes päivä

25.12.	desemperikuun kahđeskymmenesviiđes päivä

26.12.	desemperikuun kahđeskymmeneskuuđes päivä

27.12.	desemperikuun kahđeskymmenesseittemes päivä

28.12.	desemperikuun kahđeskymmeneskahđekses päivä

29.12.	desemperikuun kahđeskymmenesyhđekses päivä

30.12.	desemperikuun kolmaskymmenes päivä

31.12.	desemperikuun kolmaskymmenesensimäinen päivä

