Society:	Общество:
silver	серебро
materialC.	материал	materialC 
		
Math/Measurements:	Математика/Измерения:	Математика / Размеры: 
meter	метр
centimeter	сантиметр
kilogram	килограмм
inch	дюйм
foot.	нога.	футов. 
pound	фунт
half	половина
circle	круг
square	квадрат
temperature	температура
date	дата
weight	вес
edge	край
corner	угол
Misc	Разное 
		
Nouns:	Существительные:
map	карта
dot	точка
consonant	согласный
vowel	гласный
light	свет
sound	звук
yes	да
no	нет
piece	часть, кусок 
pain	боль
injury.	рана.	травмы. 
hole.	отверстие.
image	изображение
pattern	образец, рисунок
nounC.	существительное.	nounC. 
verbC.	глагол.	verbC. 
adjectiveC.	прилагательное	adjectiveC 
		
Directions:	Направления:
top	наверх
bottom.	основание.	снизу. 
side	сторона
front.	фронт.	Передняя. 
back.	назад.	назад. 
outside.	снаружи.	снаружи. 
inside.	внутри.	внутрь. 
up.	.	до. 
down.	вниз.	вниз. 
left.	левый.	осталось. 
right.	право.	право. 
straight.	прямо.	прямо. 
north	север
south	юг
east	восток
west	запад
directionC.	направление	directionC 
		
Seasons:	Времена года: 
Summer	лето
Spring	весна
Winter	зима
Fall	осень
seasonC.	сезон	seasonC 
		
Months:	Месяцы:
January	Январь
February	Февраль
March	Март
April	Апрель
May	Май
June	Июнь
July	Июль
August	Август
September	Сентябрь
October	Октябрь
November	Ноябрь
December	Декабрь
		
Days of the week:	Дни недели:
Monday	понедельник 
Tuesday	вторник
Wednesday	среда
Thursday	четверг
Friday	пятница
Saturday	суббота
Sunday	воскресенье
		
Time:	Время:
year	год
month	месяц
week	неделя
day	день
hour	час
minute	минута
second	второй
morning	утро
afternoon	день, после обед
evening	вечер
night	ночь 
timeC.	время	TIMEC 
		
Verbs:	Глаголы:
to work	работать
to play	играть
to walk	идти, ходить
to run	бежать 
to drive	ездить 
to fly	лететь, летать 
to swim	плавать
to goC.	пойти.	в Гоч. 
to stop	остановиться, остановить 
to follow	следовать
to think	думать
to speak	говорить
to say	сказать
to eat	поесть, съесть 
to drink	пить
to kill	убить
to die	умереть
to smile	улыбнуться, улыбаться
to laugh	смеяться
to cry	кричать, плакать 
to buy	купить
to pay	заплатить
to sell	продать
to shoot	стрелять
to learn	учиться
to jump	подскочить, прыгать 
to smell	пахнуть
to hear	слышать, услышать  
to listen	слушать
to taste.	являться на вкус.	по вкусу. 
to touch.	затрагивать.	на ощупь. 
to see	видеть
to watch	смотреть
to kiss	поцеловаться, поцеловать 
to burn	гореть, сжечь 
to melt	таять
to dig	копать 
to explode	взорваться
to sit	сидеть
to stand	стоять
to love	любить
to pass by	проходить мимо, пройти мимо 
to cut.	сокращаться.	сократить. 
to fight	бороться
to lie down	ложиться, лечь 
to dance	танцевать
to sleep	спать
to wake up	просыпаться, проснуться 
to sing	петь
to count.	учитываться.	рассчитывать. 
to marry	жениться, зайти замужем
to pray	молиться
to win	победить, выиграть 
to lose	проиграть, потерять 
to mix, stir	смешать, размешать
to bend	согнуться, согнуть 
to wash	вымыться, мыть 
to cook	приготовить, готовить 
to open	открыться, открыть 
to close	закрыться, закрыть 
to write	написать, написать 
to call	звонить, позвонить 
to turn	поворачиваться, превратить 
to build	построить 
to teach	преподавать, учить 
to grow	вырасти, расти 
to draw.	потянуть.	рисовать. 
to feed	питаться, кормить 
to catch	поймать
to throw	бросить
to clean	убрать
to find	найти
to fall	упасть, падать 
to push.	продвинуться.	чтобы подтолкнуть. 
to pull.	потянуть.	тянуть. 
to carry	нести, носить с собой 
to break	сломаться, сломать 
to wear.	износиться.	носить. 
to hang.	висеть.	повесить. 
to shake.	дрожать.	трясти. 
to sign	подписаться, подписать 
to beat	биться	бить 
to lift.	подняться.	поднять. 
		
		
Adjectives:	Прилагательные:
long	долгий
short	короткий
tall	высокий
short	короткий
low	низкий
wide	широкий
narrow	узкий
big, large	большой
small, little	маленький
slow	медленный
fast	быстрый
hot	горячий
cold	холодный
warm	теплый
cool	прохладный
new	новый
old (not new)	старый (не новый)
young	молодой
old (not young)	старый (не молодой)
good	хороший
bad	плохий
wet	влажный, мокрый 
dry	сухой
sick	больной, болен 
healthy	здоровый
loud	громкий
quiet	тихий
happy	счастливый, счастлив 
sad	печальный, грустный
beautiful	красивый
ugly	уродливый, некрасивый
deaf	глухой
blind	слепой
nice	хороший
mean	скупой
rich	богатый
poor	бедный
thick	толстый
thin	тонкий
expensive	дорогой
cheap	дешевый
flat	плоский
curved.	кривой.	изогнутые. 
male.	мужский
female	женский
tight.	трудный.	туго. 
loose	свободный
high	высокий
low	низкий
soft	мягкий
hard.	трудный.	трудно. 
deep	глубокий
shallow	мелкий
clean	чистый
dirty	грязный
strong	сильный
weak	слабый
dead	мертвый
alive	живой, жив 
heavy	тяжелый
light (not heavy)	легкий (не тяжелый)
dark	темный
light (not dark)	светлый (не темный)
nuclear	ядерный
famous	известный
		
