1.1.	лимбя ирийʼ нюртей яля
12.3.	хэˮнё таларава ирийʼ нябимдей яӈгня яля

13.3.	хэˮнё таларава ирийʼ няхарамдэй яӈгня яля

14.3.	хэˮнё таларава ирийʼ тетимдей яӈгня яля

15.3.	хэˮнё таларава ирийʼ самлязимдей яӈгня яля

16.3.	хэˮнё таларава ирийʼ маттамдэй яӈгня яля

17.3.	хэˮнё таларава ирийʼ сиˮивумдей яӈгня яля

18.3.	хэˮнё таларава ирийʼ сиднтетимдей яӈгня яля

19.3.	хэˮнё таларава ирийʼ хасуюдимдей яӈгня яля

20.3.	хэˮнё таларава ирийʼ сидя юдимдей яля

21.3.	хэˮнё таларава ирийʼ сидя юˮ нюртей яля

22.3.	хэˮнё таларава ирийʼ сидя юˮ нябимдей яля

23.3.	хэˮнё таларава ирийʼ сидя юˮ няхарамдэй яля

24.3.	хэˮнё таларава ирийʼ сидя юˮ тетимдей яля

25.3.	хэˮнё таларава ирийʼ сидя юˮ самлязимдей яля

26.3.	хэˮнё таларава ирийʼ сидя юˮ маттамдэй яля

27.3.	хэˮнё таларава ирийʼ сидя юˮ сиˮивумдей яля

28.3.	хэˮнё таларава ирийʼ сидя юˮ сиднтетимдей яля

29.3.	хэˮнё таларава ирийʼ сидя юˮ хасуюдимдей яля

30.3.	хэˮнё таларава ирийʼ няхарˮ юдимдей яля

31.3.	хэˮнё таларава ирийʼ няхарˮ юˮ нюртей яля

1.4.	варӈэʼ ирийʼ нюртей яля
1.4.	маӈгты ирийʼ нюртей яля

2.4.	варӈэʼ ирийʼ нябимдей яля
2.4.	маӈгты ирийʼ нябимдей яля

3.4.	варӈэʼ ирийʼ няхарамдэй яля
3.4.	маӈгты ирийʼ няхарамдэй яля

4.4.	варӈэʼ ирийʼ тетимдей яля
4.4.	маӈгты ирийʼ тетимдей яля

5.4.	варӈэʼ ирийʼ самлянзимдей яля
5.4.	маӈгты ирийʼ самлянзимдей яля

6.4.	варӈэʼ ирийʼ матдомдэй яля
6.4.	маӈгты ирийʼ матдомдэй яля

7.4.	варӈэʼ ирийʼ сибимдей яля
7.4.	маӈгты ирийʼ сибимдей яля

8.4.	варӈэʼ ирийʼ сиднтетимдей яля
8.4.	маӈгты ирийʼ сиднтетимдей яля

9.4.	варӈэʼ ирийʼ хасуюдимдей яля
9.4.	маӈгты ирийʼ хасуюдимдей яля

10.4.	варӈэʼ ирийʼ юдимдей яля
10.4.	маӈгты ирийʼ юдимдей яля

11.4.	варӈэʼ ирийʼ нюртей яӈгня яля
11.4.	маӈгты ирийʼ нюртей яӈгня яля

12.4.	варӈэʼ ирийʼ нябимдей яӈгня яля
12.4.	маӈгты ирийʼ нябимдей яӈгня яля

13.4.	варӈэʼ ирийʼ няхарамдэй яӈгня яля
13.4.	маӈгты ирийʼ няхарамдэй яӈгня яля

14.4.	варӈэʼ ирийʼ тетимдей яӈгня яля
14.4.	маӈгты ирийʼ тетимдей яӈгня яля

15.4.	варӈэʼ ирийʼ самлязимдей яӈгня яля
15.4.	маӈгты ирийʼ самлязимдей яӈгня яля

16.4.	варӈэʼ ирийʼ маттамдэй яӈгня яля
16.4.	маӈгты ирийʼ маттамдэй яӈгня яля

17.4.	варӈэʼ ирийʼ сиˮивумдей яӈгня яля
17.4.	маӈгты ирийʼ сиˮивумдей яӈгня яля

18.4.	варӈэʼ ирийʼ сиднтетимдей яӈгня яля
18.4.	маӈгты ирийʼ сиднтетимдей яӈгня яля

19.4.	варӈэʼ ирийʼ хасуюдимдей яӈгня яля
19.4.	маӈгты ирийʼ хасуюдимдей яӈгня яля

20.4.	варӈэʼ ирийʼ сидя юдимдей яля
20.4.	маӈгты ирийʼ сидя юдимдей яля

21.4.	варӈэʼ ирийʼ сидя юˮ нюртей яля
21.4.	маӈгты ирийʼ сидя юˮ нюртей яля

22.4.	варӈэʼ ирийʼ сидя юˮ нябимдей яля
22.4.	маӈгты ирийʼ сидя юˮ нябимдей яля

23.4.	варӈэʼ ирийʼ сидя юˮ няхарамдэй яля
23.4.	маӈгты ирийʼ сидя юˮ няхарамдэй яля

24.4.	варӈэʼ ирийʼ сидя юˮ тетимдей яля
24.4.	маӈгты ирийʼ сидя юˮ тетимдей яля

25.4.	варӈэʼ ирийʼ сидя юˮ самлязимдей яля
25.4.	маӈгты ирийʼ сидя юˮ самлязимдей яля

26.4.	варӈэʼ ирийʼ сидя юˮ маттамдэй яля
26.4.	маӈгты ирийʼ сидя юˮ маттамдэй яля

27.4.	варӈэʼ ирийʼ сидя юˮ сиˮивумдей яля
27.4.	маӈгты ирийʼ сидя юˮ сиˮивумдей яля

28.4.	варӈэʼ ирийʼ сидя юˮ сиднтетимдей яля
28.4.	маӈгты ирийʼ сидя юˮ сиднтетимдей яля

29.4.	варӈэʼ ирийʼ сидя юˮ хасуюдимдей яля
29.4.	маӈгты ирийʼ сидя юˮ хасуюдимдей яля

30.4.	варӈэʼ ирийʼ няхарˮ юдимдей яля
30.4.	маӈгты ирийʼ няхарˮ юдимдей яля

1.5.	1.5.	+?

2.5.	2.5.	+?

3.5.	3.5.	+?

4.5.	4.5.	+?

5.5.	5.5.	+?

6.5.	6.5.	+?

7.5.	7.5.	+?

8.5.	8.5.	+?

9.5.	9.5.	+?

10.5.	10.5.	+?

11.5.	11.5.	+?

12.5.	12.5.	+?

13.5.	13.5.	+?

14.5.	14.5.	+?

15.5.	15.5.	+?

16.5.	16.5.	+?

17.5.	17.5.	+?

18.5.	18.5.	+?

19.5.	19.5.	+?

20.5.	20.5.	+?

21.5.	21.5.	+?

22.5.	22.5.	+?

23.5.	23.5.	+?

24.5.	24.5.	+?

25.5.	25.5.	+?

26.5.	26.5.	+?

27.5.	27.5.	+?

28.5.	28.5.	+?

29.5.	29.5.	+?

30.5.	30.5.	+?

31.5.	31.5.	+?

1.6.	савуʼ ирийʼ нюртей яля

2.6.	савуʼ ирийʼ нябимдей яля

3.6.	савуʼ ирийʼ няхарамдэй яля

4.6.	савуʼ ирийʼ тетимдей яля

5.6.	савуʼ ирийʼ самлянзимдей яля

6.6.	савуʼ ирийʼ матдомдэй яля

7.6.	савуʼ ирийʼ сибимдей яля

8.6.	савуʼ ирийʼ сиднтетимдей яля

9.6.	савуʼ ирийʼ хасуюдимдей яля

10.6.	савуʼ ирийʼ юдимдей яля

11.6.	савуʼ ирийʼ нюртей яӈгня яля

12.6.	савуʼ ирийʼ нябимдей яӈгня яля

13.6.	савуʼ ирийʼ няхарамдэй яӈгня яля

14.6.	савуʼ ирийʼ тетимдей яӈгня яля

15.6.	савуʼ ирийʼ самлязимдей яӈгня яля

16.6.	савуʼ ирийʼ маттамдэй яӈгня яля

17.6.	савуʼ ирийʼ сиˮивумдей яӈгня яля

18.6.	савуʼ ирийʼ сиднтетимдей яӈгня яля

19.6.	савуʼ ирийʼ хасуюдимдей яӈгня яля

20.6.	савуʼ ирийʼ сидя юдимдей яля

21.6.	савуʼ ирийʼ сидя юˮ нюртей яля

22.6.	савуʼ ирийʼ сидя юˮ нябимдей яля

23.6.	савуʼ ирийʼ сидя юˮ няхарамдэй яля

24.6.	савуʼ ирийʼ сидя юˮ тетимдей яля

25.6.	савуʼ ирийʼ сидя юˮ самлязимдей яля

26.6.	савуʼ ирийʼ сидя юˮ маттамдэй яля

27.6.	савуʼ ирийʼ сидя юˮ сиˮивумдей яля

28.6.	савуʼ ирийʼ сидя юˮ сиднтетимдей яля

29.6.	савуʼ ирийʼ сидя юˮ хасуюдимдей яля

30.6.	савуʼ ирийʼ няхарˮ юдимдей яля

1.7.	неняӈгˮ ирийʼ нюртей яля

2.7.	неняӈгˮ ирийʼ нябимдей яля

3.7.	неняӈгˮ ирийʼ няхарамдэй яля

4.7.	неняӈгˮ ирийʼ тетимдей яля

5.7.	неняӈгˮ ирийʼ самлянзимдей яля

6.7.	неняӈгˮ ирийʼ матдомдэй яля

7.7.	неняӈгˮ ирийʼ сибимдей яля

8.7.	неняӈгˮ ирийʼ сиднтетимдей яля

9.7.	неняӈгˮ ирийʼ хасуюдимдей яля

10.7.	неняӈгˮ ирийʼ юдимдей яля

11.7.	неняӈгˮ ирийʼ нюртей яӈгня яля

12.7.	неняӈгˮ ирийʼ нябимдей яӈгня яля

13.7.	неняӈгˮ ирийʼ няхарамдэй яӈгня яля

14.7.	неняӈгˮ ирийʼ тетимдей яӈгня яля

15.7.	неняӈгˮ ирийʼ самлязимдей яӈгня яля

16.7.	неняӈгˮ ирийʼ маттамдэй яӈгня яля

17.7.	неняӈгˮ ирийʼ сиˮивумдей яӈгня яля

18.7.	неняӈгˮ ирийʼ сиднтетимдей яӈгня яля

19.7.	неняӈгˮ ирийʼ хасуюдимдей яӈгня яля

20.7.	неняӈгˮ ирийʼ сидя юдимдей яля

21.7.	неняӈгˮ ирийʼ сидя юˮ нюртей яля

22.7.	неняӈгˮ ирийʼ сидя юˮ нябимдей яля

23.7.	неняӈгˮ ирийʼ сидя юˮ няхарамдэй яля

24.7.	неняӈгˮ ирийʼ сидя юˮ тетимдей яля

25.7.	неняӈгˮ ирийʼ сидя юˮ самлязимдей яля

26.7.	неняӈгˮ ирийʼ сидя юˮ маттамдэй яля

27.7.	неняӈгˮ ирийʼ сидя юˮ сиˮивумдей яля

28.7.	неняӈгˮ ирийʼ сидя юˮ сиднтетимдей яля

29.7.	неняӈгˮ ирийʼ сидя юˮ хасуюдимдей яля

30.7.	неняӈгˮ ирийʼ няхарˮ юдимдей яля

31.7.	неняӈгˮ ирийʼ няхарˮ юˮ нюртей яля

1.8.	явʼхалыʼ ирийʼ нюртей яля

2.8.	явʼхалыʼ ирийʼ нябимдей яля

3.8.	явʼхалыʼ ирийʼ няхарамдэй яля

4.8.	явʼхалыʼ ирийʼ тетимдей яля

5.8.	явʼхалыʼ ирийʼ самлянзимдей яля

6.8.	явʼхалыʼ ирийʼ матдомдэй яля

7.8.	явʼхалыʼ ирийʼ сибимдей яля

8.8.	явʼхалыʼ ирийʼ сиднтетимдей яля

9.8.	явʼхалыʼ ирийʼ хасуюдимдей яля

10.8.	явʼхалыʼ ирийʼ юдимдей яля

11.8.	явʼхалыʼ ирийʼ нюртей яӈгня яля

12.8.	явʼхалыʼ ирийʼ нябимдей яӈгня яля

13.8.	явʼхалыʼ ирийʼ няхарамдэй яӈгня яля

14.8.	явʼхалыʼ ирийʼ тетимдей яӈгня яля

15.8.	явʼхалыʼ ирийʼ самлязимдей яӈгня яля

16.8.	явʼхалыʼ ирийʼ маттамдэй яӈгня яля

17.8.	явʼхалыʼ ирийʼ сиˮивумдей яӈгня яля

18.8.	явʼхалыʼ ирийʼ сиднтетимдей яӈгня яля

19.8.	явʼхалыʼ ирийʼ хасуюдимдей яӈгня яля

20.8.	явʼхалыʼ ирийʼ сидя юдимдей яля

21.8.	явʼхалыʼ ирийʼ сидя юˮ нюртей яля

22.8.	явʼхалыʼ ирийʼ сидя юˮ нябимдей яля

23.8.	явʼхалыʼ ирийʼ сидя юˮ няхарамдэй яля

24.8.	явʼхалыʼ ирийʼ сидя юˮ тетимдей яля

25.8.	явʼхалыʼ ирийʼ сидя юˮ самлязимдей яля

26.8.	явʼхалыʼ ирийʼ сидя юˮ маттамдэй яля

27.8.	явʼхалыʼ ирийʼ сидя юˮ сиˮивумдей яля

28.8.	явʼхалыʼ ирийʼ сидя юˮ сиднтетимдей яля

29.8.	явʼхалыʼ ирийʼ сидя юˮ хасуюдимдей яля

30.8.	явʼхалыʼ ирийʼ няхарˮ юдимдей яля

31.8.	явʼхалыʼ ирийʼ няхарˮ юˮ нюртей яля

1.9.	вебаʼ ирийʼ нюртей яля

2.9.	вебаʼ ирийʼ нябимдей яля

3.9.	вебаʼ ирийʼ няхарамдэй яля

4.9.	вебаʼ ирийʼ тетимдей яля

5.9.	вебаʼ ирийʼ самлянзимдей яля

6.9.	вебаʼ ирийʼ матдомдэй яля

7.9.	вебаʼ ирийʼ сибимдей яля

8.9.	вебаʼ ирийʼ сиднтетимдей яля

9.9.	вебаʼ ирийʼ хасуюдимдей яля

10.9.	вебаʼ ирийʼ юдимдей яля

11.9.	вебаʼ ирийʼ нюртей яӈгня яля

12.9.	вебаʼ ирийʼ нябимдей яӈгня яля

13.9.	вебаʼ ирийʼ няхарамдэй яӈгня яля

14.9.	вебаʼ ирийʼ тетимдей яӈгня яля

15.9.	вебаʼ ирийʼ самлязимдей яӈгня яля

16.9.	вебаʼ ирийʼ маттамдэй яӈгня яля

17.9.	вебаʼ ирийʼ сиˮивумдей яӈгня яля

18.9.	вебаʼ ирийʼ сиднтетимдей яӈгня яля

19.9.	вебаʼ ирийʼ хасуюдимдей яӈгня яля

20.9.	вебаʼ ирийʼ сидя юдимдей яля

21.9.	вебаʼ ирийʼ сидя юˮ нюртей яля

22.9.	вебаʼ ирийʼ сидя юˮ нябимдей яля

23.9.	вебаʼ ирийʼ сидя юˮ няхарамдэй яля

24.9.	вебаʼ ирийʼ сидя юˮ тетимдей яля

25.9.	вебаʼ ирийʼ сидя юˮ самлязимдей яля

26.9.	вебаʼ ирийʼ сидя юˮ маттамдэй яля

27.9.	вебаʼ ирийʼ сидя юˮ сиˮивумдей яля

28.9.	вебаʼ ирийʼ сидя юˮ сиднтетимдей яля

29.9.	вебаʼ ирийʼ сидя юˮ хасуюдимдей яля

30.9.	вебаʼ ирийʼ няхарˮ юдимдей яля

1.10.	хаювы ирийʼ нюртей яля
1.10.	хорˮ ирийʼ нюртей яля
1.10.	ӈэрёй ирийʼ нюртей яля
1.10.	носиндалава ирийʼ нюртей яля

2.10.	хаювы ирийʼ нябимдей яля
2.10.	хорˮ ирийʼ нябимдей яля
2.10.	ӈэрёй ирийʼ нябимдей яля
2.10.	носиндалава ирийʼ нябимдей яля

3.10.	хаювы ирийʼ няхарамдэй яля
3.10.	хорˮ ирийʼ няхарамдэй яля
3.10.	ӈэрёй ирийʼ няхарамдэй яля
3.10.	носиндалава ирийʼ няхарамдэй яля

4.10.	хаювы ирийʼ тетимдей яля
4.10.	хорˮ ирийʼ тетимдей яля
4.10.	ӈэрёй ирийʼ тетимдей яля
4.10.	носиндалава ирийʼ тетимдей яля

5.10.	хаювы ирийʼ самлянзимдей яля
5.10.	хорˮ ирийʼ самлянзимдей яля
5.10.	ӈэрёй ирийʼ самлянзимдей яля
5.10.	носиндалава ирийʼ самлянзимдей яля

6.10.	хаювы ирийʼ матдомдэй яля
6.10.	хорˮ ирийʼ матдомдэй яля
6.10.	ӈэрёй ирийʼ матдомдэй яля
6.10.	носиндалава ирийʼ матдомдэй яля

7.10.	хаювы ирийʼ сибимдей яля
7.10.	хорˮ ирийʼ сибимдей яля
7.10.	ӈэрёй ирийʼ сибимдей яля
7.10.	носиндалава ирийʼ сибимдей яля

8.10.	хаювы ирийʼ сиднтетимдей яля
8.10.	хорˮ ирийʼ сиднтетимдей яля
8.10.	ӈэрёй ирийʼ сиднтетимдей яля
8.10.	носиндалава ирийʼ сиднтетимдей яля

9.10.	хаювы ирийʼ хасуюдимдей яля
9.10.	хорˮ ирийʼ хасуюдимдей яля
9.10.	ӈэрёй ирийʼ хасуюдимдей яля
9.10.	носиндалава ирийʼ хасуюдимдей яля

10.10.	хаювы ирийʼ юдимдей яля
10.10.	хорˮ ирийʼ юдимдей яля
10.10.	ӈэрёй ирийʼ юдимдей яля
10.10.	носиндалава ирийʼ юдимдей яля

11.10.	хаювы ирийʼ нюртей яӈгня яля
11.10.	хорˮ ирийʼ нюртей яӈгня яля
11.10.	ӈэрёй ирийʼ нюртей яӈгня яля
11.10.	носиндалава ирийʼ нюртей яӈгня яля

12.10.	хаювы ирийʼ нябимдей яӈгня яля
12.10.	хорˮ ирийʼ нябимдей яӈгня яля
12.10.	ӈэрёй ирийʼ нябимдей яӈгня яля
12.10.	носиндалава ирийʼ нябимдей яӈгня яля

13.10.	хаювы ирийʼ няхарамдэй яӈгня яля
13.10.	хорˮ ирийʼ няхарамдэй яӈгня яля
13.10.	ӈэрёй ирийʼ няхарамдэй яӈгня яля
13.10.	носиндалава ирийʼ няхарамдэй яӈгня яля

14.10.	хаювы ирийʼ тетимдей яӈгня яля
14.10.	хорˮ ирийʼ тетимдей яӈгня яля
14.10.	ӈэрёй ирийʼ тетимдей яӈгня яля
14.10.	носиндалава ирийʼ тетимдей яӈгня яля

15.10.	хаювы ирийʼ самлязимдей яӈгня яля
15.10.	хорˮ ирийʼ самлязимдей яӈгня яля
15.10.	ӈэрёй ирийʼ самлязимдей яӈгня яля
15.10.	носиндалава ирийʼ самлязимдей яӈгня яля

16.10.	хаювы ирийʼ маттамдэй яӈгня яля
16.10.	хорˮ ирийʼ маттамдэй яӈгня яля
16.10.	ӈэрёй ирийʼ маттамдэй яӈгня яля
16.10.	носиндалава ирийʼ маттамдэй яӈгня яля

17.10.	хаювы ирийʼ сиˮивумдей яӈгня яля
17.10.	хорˮ ирийʼ сиˮивумдей яӈгня яля
17.10.	ӈэрёй ирийʼ сиˮивумдей яӈгня яля
17.10.	носиндалава ирийʼ сиˮивумдей яӈгня яля

18.10.	хаювы ирийʼ сиднтетимдей яӈгня яля
18.10.	хорˮ ирийʼ сиднтетимдей яӈгня яля
18.10.	ӈэрёй ирийʼ сиднтетимдей яӈгня яля
18.10.	носиндалава ирийʼ сиднтетимдей яӈгня яля

19.10.	хаювы ирийʼ хасуюдимдей яӈгня яля
19.10.	хорˮ ирийʼ хасуюдимдей яӈгня яля
19.10.	ӈэрёй ирийʼ хасуюдимдей яӈгня яля
19.10.	носиндалава ирийʼ хасуюдимдей яӈгня яля

20.10.	хаювы ирийʼ сидя юдимдей яля
20.10.	хорˮ ирийʼ сидя юдимдей яля
20.10.	ӈэрёй ирийʼ сидя юдимдей яля
20.10.	носиндалава ирийʼ сидя юдимдей яля

21.10.	хаювы ирийʼ сидя юˮ нюртей яля
21.10.	хорˮ ирийʼ сидя юˮ нюртей яля
21.10.	ӈэрёй ирийʼ сидя юˮ нюртей яля
21.10.	носиндалава ирийʼ сидя юˮ нюртей яля

22.10.	хаювы ирийʼ сидя юˮ нябимдей яля
22.10.	хорˮ ирийʼ сидя юˮ нябимдей яля
22.10.	ӈэрёй ирийʼ сидя юˮ нябимдей яля
22.10.	носиндалава ирийʼ сидя юˮ нябимдей яля

23.10.	хаювы ирийʼ сидя юˮ няхарамдэй яля
23.10.	хорˮ ирийʼ сидя юˮ няхарамдэй яля
23.10.	ӈэрёй ирийʼ сидя юˮ няхарамдэй яля
23.10.	носиндалава ирийʼ сидя юˮ няхарамдэй яля

24.10.	хаювы ирийʼ сидя юˮ тетимдей яля
24.10.	хорˮ ирийʼ сидя юˮ тетимдей яля
24.10.	ӈэрёй ирийʼ сидя юˮ тетимдей яля
24.10.	носиндалава ирийʼ сидя юˮ тетимдей яля

25.10.	хаювы ирийʼ сидя юˮ самлязимдей яля
25.10.	хорˮ ирийʼ сидя юˮ самлязимдей яля
25.10.	ӈэрёй ирийʼ сидя юˮ самлязимдей яля
25.10.	носиндалава ирийʼ сидя юˮ самлязимдей яля

26.10.	хаювы ирийʼ сидя юˮ маттамдэй яля
26.10.	хорˮ ирийʼ сидя юˮ маттамдэй яля
26.10.	ӈэрёй ирийʼ сидя юˮ маттамдэй яля
26.10.	носиндалава ирийʼ сидя юˮ маттамдэй яля

27.10.	хаювы ирийʼ сидя юˮ сиˮивумдей яля
27.10.	хорˮ ирийʼ сидя юˮ сиˮивумдей яля
27.10.	ӈэрёй ирийʼ сидя юˮ сиˮивумдей яля
27.10.	носиндалава ирийʼ сидя юˮ сиˮивумдей яля

28.10.	хаювы ирийʼ сидя юˮ сиднтетимдей яля
28.10.	хорˮ ирийʼ сидя юˮ сиднтетимдей яля
28.10.	ӈэрёй ирийʼ сидя юˮ сиднтетимдей яля
28.10.	носиндалава ирийʼ сидя юˮ сиднтетимдей яля

29.10.	хаювы ирийʼ сидя юˮ хасуюдимдей яля
29.10.	хорˮ ирийʼ сидя юˮ хасуюдимдей яля
29.10.	ӈэрёй ирийʼ сидя юˮ хасуюдимдей яля
29.10.	носиндалава ирийʼ сидя юˮ хасуюдимдей яля

30.10.	хаювы ирийʼ няхарˮ юдимдей яля
30.10.	хорˮ ирийʼ няхарˮ юдимдей яля
30.10.	ӈэрёй ирийʼ няхарˮ юдимдей яля
30.10.	носиндалава ирийʼ няхарˮ юдимдей яля

31.10.	хаювы ирийʼ няхарˮ юˮ нюртей яля
31.10.	хорˮ ирийʼ няхарˮ юˮ нюртей яля
31.10.	ӈэрёй ирийʼ няхарˮ юˮ нюртей яля
31.10.	носиндалава ирийʼ няхарˮ юˮ нюртей яля

1.11.	нюдя пэвдей ирийʼ нюртей яля

2.11.	нюдя пэвдей ирийʼ нябимдей яля

3.11.	нюдя пэвдей ирийʼ няхарамдэй яля

4.11.	нюдя пэвдей ирийʼ тетимдей яля

5.11.	нюдя пэвдей ирийʼ самлянзимдей яля

6.11.	нюдя пэвдей ирийʼ матдомдэй яля

7.11.	нюдя пэвдей ирийʼ сибимдей яля

8.11.	нюдя пэвдей ирийʼ сиднтетимдей яля

9.11.	нюдя пэвдей ирийʼ хасуюдимдей яля

10.11.	нюдя пэвдей ирийʼ юдимдей яля

11.11.	нюдя пэвдей ирийʼ нюртей яӈгня яля

12.11.	нюдя пэвдей ирийʼ нябимдей яӈгня яля

13.11.	нюдя пэвдей ирийʼ няхарамдэй яӈгня яля

14.11.	нюдя пэвдей ирийʼ тетимдей яӈгня яля

15.11.	нюдя пэвдей ирийʼ самлязимдей яӈгня яля

16.11.	нюдя пэвдей ирийʼ маттамдэй яӈгня яля

17.11.	нюдя пэвдей ирийʼ сиˮивумдей яӈгня яля

18.11.	нюдя пэвдей ирийʼ сиднтетимдей яӈгня яля

19.11.	нюдя пэвдей ирийʼ хасуюдимдей яӈгня яля

20.11.	нюдя пэвдей ирийʼ сидя юдимдей яля

21.11.	нюдя пэвдей ирийʼ сидя юˮ нюртей яля

22.11.	нюдя пэвдей ирийʼ сидя юˮ нябимдей яля

23.11.	нюдя пэвдей ирийʼ сидя юˮ няхарамдэй яля

24.11.	нюдя пэвдей ирийʼ сидя юˮ тетимдей яля

25.11.	нюдя пэвдей ирийʼ сидя юˮ самлязимдей яля

26.11.	нюдя пэвдей ирийʼ сидя юˮ маттамдэй яля

27.11.	нюдя пэвдей ирийʼ сидя юˮ сиˮивумдей яля

28.11.	нюдя пэвдей ирийʼ сидя юˮ сиднтетимдей яля

29.11.	нюдя пэвдей ирийʼ сидя юˮ хасуюдимдей яля

30.11.	нюдя пэвдей ирийʼ няхарˮ юдимдей яля

1.12.	ӈарка пэвдей ирийʼ нюртей яля

2.12.	ӈарка пэвдей ирийʼ нябимдей яля

3.12.	ӈарка пэвдей ирийʼ няхарамдэй яля

4.12.	ӈарка пэвдей ирийʼ тетимдей яля

5.12.	ӈарка пэвдей ирийʼ самлянзимдей яля

6.12.	ӈарка пэвдей ирийʼ матдомдэй яля

7.12.	ӈарка пэвдей ирийʼ сибимдей яля

8.12.	ӈарка пэвдей ирийʼ сиднтетимдей яля

9.12.	ӈарка пэвдей ирийʼ хасуюдимдей яля

10.12.	ӈарка пэвдей ирийʼ юдимдей яля

11.12.	ӈарка пэвдей ирийʼ нюртей яӈгня яля

