1.1.	enzimäine päivy pakkaskuudu
15.3.	viijestostu päivy kevätkuudu

16.3.	kuvvestostu päivy kevätkuudu

17.3.	seiččemästostu päivy kevätkuudu

18.3.	kaheksastostu päivy kevätkuudu

19.3.	yheksästostu päivy kevätkuudu

20.3.	20.3.	+?

21.3.	kahteskymmenesenzimäine päivy kevätkuudu

22.3.	kahteskymmenestoine päivy kevätkuudu

23.3.	kahteskymmeneskolmas päivy kevätkuudu

24.3.	kahteskymmenesnelljäs päivy kevätkuudu

25.3.	kahteskymmenesviijes päivy kevätkuudu

26.3.	kahteskymmeneskuvves päivy kevätkuudu

27.3.	kahteskymmenesseiččemäs päivy kevätkuudu

28.3.	kahteskymmeneskaheksas päivy kevätkuudu

29.3.	kahteskymmenesyheksäs päivy kevätkuudu

30.3.	kolmaskymmenes päivy kevätkuudu

31.3.	kolmaskymmenesenzimäine päivy kevätkuudu

1.4.	enzimäine päivy sulakuudu

2.4.	kahteskymmenes päivy sulakuudu
2.4.	toine päivy sulakuudu

3.4.	kolmas päivy sulakuudu

4.4.	nelljäs päivy sulakuudu

5.4.	viijes päivy sulakuudu

6.4.	kuvves päivy sulakuudu

7.4.	seiččemäs päivy sulakuudu

8.4.	kaheksas päivy sulakuudu

9.4.	yheksäs päivy sulakuudu

10.4.	kymmenes päivy sulakuudu

11.4.	yhtestostu päivy sulakuudu

12.4.	kahtestostu päivy sulakuudu

13.4.	kolmastostu päivy sulakuudu

14.4.	nelljästostu päivy sulakuudu

15.4.	viijestostu päivy sulakuudu

16.4.	kuvvestostu päivy sulakuudu

17.4.	seiččemästostu päivy sulakuudu

18.4.	kaheksastostu päivy sulakuudu

19.4.	yheksästostu päivy sulakuudu

20.4.	20.4.	+?

21.4.	kahteskymmenesenzimäine päivy sulakuudu

22.4.	kahteskymmenestoine päivy sulakuudu

23.4.	kahteskymmeneskolmas päivy sulakuudu

24.4.	kahteskymmenesnelljäs päivy sulakuudu

25.4.	kahteskymmenesviijes päivy sulakuudu

26.4.	kahteskymmeneskuvves päivy sulakuudu

27.4.	kahteskymmenesseiččemäs päivy sulakuudu

28.4.	kahteskymmeneskaheksas päivy sulakuudu

29.4.	kahteskymmenesyheksäs päivy sulakuudu

30.4.	kolmaskymmenes päivy sulakuudu

1.5.	enzimäine päivy oraskuudu

2.5.	kahteskymmenes päivy oraskuudu
2.5.	toine päivy oraskuudu

3.5.	kolmas päivy oraskuudu

4.5.	nelljäs päivy oraskuudu

5.5.	viijes päivy oraskuudu

6.5.	kuvves päivy oraskuudu

7.5.	seiččemäs päivy oraskuudu

8.5.	kaheksas päivy oraskuudu

9.5.	yheksäs päivy oraskuudu

10.5.	kymmenes päivy oraskuudu

11.5.	yhtestostu päivy oraskuudu

12.5.	kahtestostu päivy oraskuudu

13.5.	kolmastostu päivy oraskuudu

14.5.	nelljästostu päivy oraskuudu

15.5.	viijestostu päivy oraskuudu

16.5.	kuvvestostu päivy oraskuudu

17.5.	seiččemästostu päivy oraskuudu

18.5.	kaheksastostu päivy oraskuudu

19.5.	yheksästostu päivy oraskuudu

20.5.	20.5.	+?

21.5.	kahteskymmenesenzimäine päivy oraskuudu

22.5.	kahteskymmenestoine päivy oraskuudu

23.5.	kahteskymmeneskolmas päivy oraskuudu

24.5.	kahteskymmenesnelljäs päivy oraskuudu

25.5.	kahteskymmenesviijes päivy oraskuudu

26.5.	kahteskymmeneskuvves päivy oraskuudu

27.5.	kahteskymmenesseiččemäs päivy oraskuudu

28.5.	kahteskymmeneskaheksas päivy oraskuudu

29.5.	kahteskymmenesyheksäs päivy oraskuudu

30.5.	kolmaskymmenes päivy oraskuudu

31.5.	kolmaskymmenesenzimäine päivy oraskuudu

1.6.	enzimäine päivy kezäkuudu

2.6.	kahteskymmenes päivy kezäkuudu
2.6.	toine päivy kezäkuudu

3.6.	kolmas päivy kezäkuudu

4.6.	nelljäs päivy kezäkuudu

5.6.	viijes päivy kezäkuudu

6.6.	kuvves päivy kezäkuudu

7.6.	seiččemäs päivy kezäkuudu

8.6.	kaheksas päivy kezäkuudu

9.6.	yheksäs päivy kezäkuudu

10.6.	kymmenes päivy kezäkuudu

11.6.	yhtestostu päivy kezäkuudu

12.6.	kahtestostu päivy kezäkuudu

13.6.	kolmastostu päivy kezäkuudu

14.6.	nelljästostu päivy kezäkuudu

15.6.	viijestostu päivy kezäkuudu

16.6.	kuvvestostu päivy kezäkuudu

17.6.	seiččemästostu päivy kezäkuudu

18.6.	kaheksastostu päivy kezäkuudu

19.6.	yheksästostu päivy kezäkuudu

20.6.	20.6.	+?

21.6.	kahteskymmenesenzimäine päivy kezäkuudu

22.6.	kahteskymmenestoine päivy kezäkuudu

23.6.	kahteskymmeneskolmas päivy kezäkuudu

24.6.	kahteskymmenesnelljäs päivy kezäkuudu

25.6.	kahteskymmenesviijes päivy kezäkuudu

26.6.	kahteskymmeneskuvves päivy kezäkuudu

27.6.	kahteskymmenesseiččemäs päivy kezäkuudu

28.6.	kahteskymmeneskaheksas päivy kezäkuudu

29.6.	kahteskymmenesyheksäs päivy kezäkuudu

30.6.	kolmaskymmenes päivy kezäkuudu

1.7.	enzimäine päivy heinykuudu

2.7.	kahteskymmenes päivy heinykuudu
2.7.	toine päivy heinykuudu

3.7.	kolmas päivy heinykuudu

4.7.	nelljäs päivy heinykuudu

5.7.	viijes päivy heinykuudu

6.7.	kuvves päivy heinykuudu

7.7.	seiččemäs päivy heinykuudu

8.7.	kaheksas päivy heinykuudu

9.7.	yheksäs päivy heinykuudu

10.7.	kymmenes päivy heinykuudu

11.7.	yhtestostu päivy heinykuudu

12.7.	kahtestostu päivy heinykuudu

13.7.	kolmastostu päivy heinykuudu

14.7.	nelljästostu päivy heinykuudu

15.7.	viijestostu päivy heinykuudu

16.7.	kuvvestostu päivy heinykuudu

17.7.	seiččemästostu päivy heinykuudu

18.7.	kaheksastostu päivy heinykuudu

19.7.	yheksästostu päivy heinykuudu

20.7.	20.7.	+?

21.7.	kahteskymmenesenzimäine päivy heinykuudu

22.7.	kahteskymmenestoine päivy heinykuudu

23.7.	kahteskymmeneskolmas päivy heinykuudu

24.7.	kahteskymmenesnelljäs päivy heinykuudu

25.7.	kahteskymmenesviijes päivy heinykuudu

26.7.	kahteskymmeneskuvves päivy heinykuudu

27.7.	kahteskymmenesseiččemäs päivy heinykuudu

28.7.	kahteskymmeneskaheksas päivy heinykuudu

29.7.	kahteskymmenesyheksäs päivy heinykuudu

30.7.	kolmaskymmenes päivy heinykuudu

31.7.	kolmaskymmenesenzimäine päivy heinykuudu

1.8.	enzimäine päivy elokuudu

2.8.	kahteskymmenes päivy elokuudu
2.8.	toine päivy elokuudu

3.8.	kolmas päivy elokuudu

4.8.	nelljäs päivy elokuudu

5.8.	viijes päivy elokuudu

6.8.	kuvves päivy elokuudu

7.8.	seiččemäs päivy elokuudu

8.8.	kaheksas päivy elokuudu

9.8.	yheksäs päivy elokuudu

10.8.	kymmenes päivy elokuudu

11.8.	yhtestostu päivy elokuudu

12.8.	kahtestostu päivy elokuudu

13.8.	kolmastostu päivy elokuudu

14.8.	nelljästostu päivy elokuudu

15.8.	viijestostu päivy elokuudu

16.8.	kuvvestostu päivy elokuudu

17.8.	seiččemästostu päivy elokuudu

18.8.	kaheksastostu päivy elokuudu

19.8.	yheksästostu päivy elokuudu

20.8.	20.8.	+?

21.8.	kahteskymmenesenzimäine päivy elokuudu

22.8.	kahteskymmenestoine päivy elokuudu

23.8.	kahteskymmeneskolmas päivy elokuudu

24.8.	kahteskymmenesnelljäs päivy elokuudu

25.8.	kahteskymmenesviijes päivy elokuudu

26.8.	kahteskymmeneskuvves päivy elokuudu

27.8.	kahteskymmenesseiččemäs päivy elokuudu

28.8.	kahteskymmeneskaheksas päivy elokuudu

29.8.	kahteskymmenesyheksäs päivy elokuudu

30.8.	kolmaskymmenes päivy elokuudu

31.8.	kolmaskymmenesenzimäine päivy elokuudu

1.9.	enzimäine päivy syvyskuudu

2.9.	kahteskymmenes päivy syvyskuudu
2.9.	toine päivy syvyskuudu

3.9.	kolmas päivy syvyskuudu

4.9.	nelljäs päivy syvyskuudu

5.9.	viijes päivy syvyskuudu

6.9.	kuvves päivy syvyskuudu

7.9.	seiččemäs päivy syvyskuudu

8.9.	kaheksas päivy syvyskuudu

9.9.	yheksäs päivy syvyskuudu

10.9.	kymmenes päivy syvyskuudu

11.9.	yhtestostu päivy syvyskuudu

12.9.	kahtestostu päivy syvyskuudu

13.9.	kolmastostu päivy syvyskuudu

14.9.	nelljästostu päivy syvyskuudu

15.9.	viijestostu päivy syvyskuudu

16.9.	kuvvestostu päivy syvyskuudu

17.9.	seiččemästostu päivy syvyskuudu

18.9.	kaheksastostu päivy syvyskuudu

19.9.	yheksästostu päivy syvyskuudu

20.9.	20.9.	+?

21.9.	kahteskymmenesenzimäine päivy syvyskuudu

22.9.	kahteskymmenestoine päivy syvyskuudu

23.9.	kahteskymmeneskolmas päivy syvyskuudu

24.9.	kahteskymmenesnelljäs päivy syvyskuudu

25.9.	kahteskymmenesviijes päivy syvyskuudu

26.9.	kahteskymmeneskuvves päivy syvyskuudu

27.9.	kahteskymmenesseiččemäs päivy syvyskuudu

28.9.	kahteskymmeneskaheksas päivy syvyskuudu

29.9.	kahteskymmenesyheksäs päivy syvyskuudu

30.9.	kolmaskymmenes päivy syvyskuudu

1.10.	enzimäine päivy ligakuudu

2.10.	kahteskymmenes päivy ligakuudu
2.10.	toine päivy ligakuudu

3.10.	kolmas päivy ligakuudu

4.10.	nelljäs päivy ligakuudu

5.10.	viijes päivy ligakuudu

6.10.	kuvves päivy ligakuudu

7.10.	seiččemäs päivy ligakuudu

8.10.	kaheksas päivy ligakuudu

9.10.	yheksäs päivy ligakuudu

10.10.	kymmenes päivy ligakuudu

11.10.	yhtestostu päivy ligakuudu

12.10.	kahtestostu päivy ligakuudu

13.10.	kolmastostu päivy ligakuudu

14.10.	nelljästostu päivy ligakuudu

15.10.	viijestostu päivy ligakuudu

16.10.	kuvvestostu päivy ligakuudu

17.10.	seiččemästostu päivy ligakuudu

18.10.	kaheksastostu päivy ligakuudu

19.10.	yheksästostu päivy ligakuudu

20.10.	20.10.	+?

21.10.	kahteskymmenesenzimäine päivy ligakuudu

22.10.	kahteskymmenestoine päivy ligakuudu

23.10.	kahteskymmeneskolmas päivy ligakuudu

24.10.	kahteskymmenesnelljäs päivy ligakuudu

25.10.	kahteskymmenesviijes päivy ligakuudu

26.10.	kahteskymmeneskuvves päivy ligakuudu

27.10.	kahteskymmenesseiččemäs päivy ligakuudu

28.10.	kahteskymmeneskaheksas päivy ligakuudu

29.10.	kahteskymmenesyheksäs päivy ligakuudu

30.10.	kolmaskymmenes päivy ligakuudu

31.10.	kolmaskymmenesenzimäine päivy ligakuudu

1.11.	enzimäine päivy kylmykuudu

2.11.	kahteskymmenes päivy kylmykuudu
2.11.	toine päivy kylmykuudu

3.11.	kolmas päivy kylmykuudu

4.11.	nelljäs päivy kylmykuudu

5.11.	viijes päivy kylmykuudu

6.11.	kuvves päivy kylmykuudu

7.11.	seiččemäs päivy kylmykuudu

8.11.	kaheksas päivy kylmykuudu

9.11.	yheksäs päivy kylmykuudu

10.11.	kymmenes päivy kylmykuudu

11.11.	yhtestostu päivy kylmykuudu

12.11.	kahtestostu päivy kylmykuudu

13.11.	kolmastostu päivy kylmykuudu

14.11.	nelljästostu päivy kylmykuudu

15.11.	viijestostu päivy kylmykuudu

16.11.	kuvvestostu päivy kylmykuudu

17.11.	seiččemästostu päivy kylmykuudu

18.11.	kaheksastostu päivy kylmykuudu

19.11.	yheksästostu päivy kylmykuudu

20.11.	20.11.	+?

21.11.	kahteskymmenesenzimäine päivy kylmykuudu

22.11.	kahteskymmenestoine päivy kylmykuudu

23.11.	kahteskymmeneskolmas päivy kylmykuudu

24.11.	kahteskymmenesnelljäs päivy kylmykuudu

25.11.	kahteskymmenesviijes päivy kylmykuudu

26.11.	kahteskymmeneskuvves päivy kylmykuudu

27.11.	kahteskymmenesseiččemäs päivy kylmykuudu

28.11.	kahteskymmeneskaheksas päivy kylmykuudu

29.11.	kahteskymmenesyheksäs päivy kylmykuudu

30.11.	kolmaskymmenes päivy kylmykuudu

1.12.	enzimäine päivy talvikuudu

2.12.	kahteskymmenes päivy talvikuudu
2.12.	toine päivy talvikuudu

3.12.	kolmas päivy talvikuudu

4.12.	nelljäs päivy talvikuudu

5.12.	viijes päivy talvikuudu

6.12.	kuvves päivy talvikuudu

7.12.	seiččemäs päivy talvikuudu

8.12.	kaheksas päivy talvikuudu

9.12.	yheksäs päivy talvikuudu

10.12.	kymmenes päivy talvikuudu

11.12.	yhtestostu päivy talvikuudu

12.12.	kahtestostu päivy talvikuudu

13.12.	kolmastostu päivy talvikuudu

14.12.	nelljästostu päivy talvikuudu

15.12.	viijestostu päivy talvikuudu

16.12.	kuvvestostu päivy talvikuudu

17.12.	seiččemästostu päivy talvikuudu

18.12.	kaheksastostu päivy talvikuudu

19.12.	yheksästostu päivy talvikuudu

20.12.	20.12.	+?

21.12.	kahteskymmenesenzimäine päivy talvikuudu

22.12.	kahteskymmenestoine päivy talvikuudu

23.12.	kahteskymmeneskolmas päivy talvikuudu

24.12.	kahteskymmenesnelljäs päivy talvikuudu

25.12.	kahteskymmenesviijes päivy talvikuudu

26.12.	kahteskymmeneskuvves päivy talvikuudu

27.12.	kahteskymmenesseiččemäs päivy talvikuudu

28.12.	kahteskymmeneskaheksas päivy talvikuudu

29.12.	kahteskymmenesyheksäs päivy talvikuudu

30.12.	kolmaskymmenes päivy talvikuudu

31.12.	kolmaskymmenesenzimäine päivy talvikuudu

