aadtjegh	vastikään, vasta, juuri
daebpene	täällä
daebrie	perna
daejredh	tietää
daelie	nyt
daelhkie	(ajo)keli; sää
daelvege	talvella
daelvie	talvi
daelvielaante	talvialue, talvilaidun(maa)
daemies	kesy
daenbiejjien	tänään
daenaereden	tänä aamuna
daennie	tässä; tänä
daerpies	tarpeellinen, tarpeen
daesnie	tässä
daestie	tästä
daevere	tavara
dagke	kos, kös
dagkeres	sellainen
dagkere	sellainen
dah	ne, he
dah guaktah	he kaksi
dahkoe	sinne
dahpe	tuppi
dahpedh	sulkea
dalhkedh	tulla (esiin), ilmestyä
dallah	heti, saman tien
dallahmasten	nopeasti, hetimmiten
dallatjinie	heti, saman tien
dallegh	heti, saman tien
dalvese	vuoren, tunturinhuippu
damtedh	tuntea; kokeilla; maistaa
damtehtidh	tunnustella, koettaa
dan	sen, siihen; niin
dan aereden	sinä aamuna
darhkh	sitten; kaan, kään
darks	sitten; kaan, kään
darhke	sitten; kaan, kään
darjodh	tehdä
darjomes	tekeminen
darjome	tekeminen
darvedh	tervata
dastegh	yhtäkkiä; siltä varalta että
datne	sinä
datne dihte	sinä(pä) se
deahpadidh	sattua, tapahtua
deajvoe	juurista punottu juustomuotti
deakehke	kotapuu, ruode
dealodh	kattaa pöytä
dealoe	pöytäliina; tarjoilualusta
Dearna	Tärnaby
deava	mäki, kukkula
deavabaahkoe	mäenrinne
deavetje	pieni kumpu
debpene	tuolla
debriehtidh	kiinnittää (neuloilla), harsia
deehkehtidh	pyyhkiä, silittää
deejehtidh	panna kenkäheinä kunnolla kenkään
deemedh	kesyttää
deere	uros(koira)
deereriepie	uroskettu
deerpegh	tarpeet, tarvikkeet, varusteet
dejkoe	tuolla (ympäriinsä)
dejpeli	entisaikaan
dej beeli	entisaikaan
dejpelatje	entisaikainen, muinainen
dejbaaletje	entisaikainen, muinainen
delhkiehtidh	ilmestyä paikalle (susi)
dellie	silloin, sitten
dellie maajetjh	vihdoin viimein
dennie	sinä, siinä
derhvie	turve
derhviegåetie	turvekota, kammi
desnie	siinä
destie	siitä
dibrehtidh	kiinnittää
diedtedh	painaa
die	niin
diekie	tänne
dïenesjidh	tienata, ansaita
dïeves	täysi
dïeve	täysi
dievhtedh	täyttää
dieviedidh	tavata, kohdata, osua
dievviedidh	tavata, kohdata, osua
dih	te (lyhyt muoto sanasta dijjieh)
dihte	se, hän
dijjieh	te
dïjmedh	pehmetä
dïjnehkh	sokeri
dijpedh	napata, tarttua; käydä onkeen
dïjpedh	napata, tarttua; käydä onkeen
dimperebuvrie	puuvaja
dïrrege	työkalu	
disse	sille, hänelle; sinne
dle	sitten (sanan dellie lyhyt muoto)
doekedh	myydä
doekije	myyjä
doekoe	vasten, kohden
doeka	vasten, kohden
doeltedh	kiehua
doeltejehtedh	kiehauttaa
doeltijahtjedh	kiehauttaa
doeltestidh	kiehahtaa
doeltijidh	alkaa kiehua
doengedh	paikata, korjata
doeredh	kokea (verkko)
doeredidh	kokea (verkkoja)
doerke	torko, kotarisu
doerkestidh	kattaa risuilla, (lattia)varvuilla
doestedh	uskaltaa
doete	se (sinua lähempänä oleva)
dohkh diekie	sinne tänne
dohkoe	sinne
dohte	tuo (kauempana oleva)
don biejjien	toissapäivänä
domhpe	maansiirtoauto
domtedh	tuntua; maistua
dovletje	entinen, muinainen	
dovne	vallan, aivan, kaikkiaan; myöten; myös, jopa
dovres	kallis
dovtesgierkie	tukikivi
duahpa	tupsu
duakan	taakse
duarsta	torstai
duarstabiejjegi	torstaisin
dubpelen	takana, tuolla puolen
dubpene	tuolla (kaukana)
dubpiebasse	tuonnemmaksi
dubpielisnie	tuonnempana
duekesne	takana
duelie	ole hyvä; siinä (on)
dueljie	talja
dulvies	tulviva
dunnie	siinä; tuolla
durrie	tunturien välinen laakso
dusnie	tuolla kaukana
duvhties	tiivis, tiheä
duvlie	siinä (on)
duvvene	rannikolla, vuonolla
dygne	vuorokausi
dæjman	viime vuonna
dæjpeles	hyvä, sopiva, mukava
dæjsta	tiistai
dængkodh	tilata
döömedh	tyhjentää
dööpmedh	tuomita
dööpmehtæjja	tuomari, tuomitsija
dööpmesovvedh	saada tuomio
döörkenes	vavistus, puistatus
dåajodh	taittaa, kerätä kotarisuja
dåajvoehtidh	luvata
dåaktere	lääkäri, tohtori
dåaktovre	lääkäri, tohtori
dåalvodh	jahdata, ajaa takaa; kuljettaa
dåamijes	kohtelias, kunnolla käyttäytyvä
dåaresth	poikki, yli
dåastodh	ottaa vastaan
dåastoehtidh	ottaa vastaan
dåehkie	tokka, lauma
dåelhpie	25 äyrin kolikko
dåemiedidh	menetellä, toimia, käyttäytyä
dåeriedidh	seurata (mukana), tulla mukaan
dåeriesmoere	kodan kynnyspuu
dågka	tupakka
dålle	tuli
dållesijjie	tulisija, nuotiopaikka
dålletje	pieni tuli
dån	sinä (sanan datne lyhyt muoto)
dåtnoeh	te kaksi
dåvna	tyyny
dåvnetråajjoe	untuvatakki
dåvvese	kauemmas rannasta
dåvvodh	korjata
davvodh	korjata
dåvvomesijjie	korjaamo, verstas
dååpmehke	taimen, tammukka
dåårrehtidh	hankkia, huolehtia
eadtjaldovvedh	innostua
eadtjohke	innokas, tarmokas
eajhnadovvedh	päättää, aikoa, saada päähänsä
ealehke	paha, työläs, ikävä; katkera (ruuasta)
eanna	aivan
earoeladtje	rehellinen
easkah	vasta
eatneme	maa
eavadidh	välittää
ebrie	sade
edtjedh	täytyä, pitää; aikoa
eejan jovjan	lohduta (ja kanna) minua
eejehtalledh	viettää aikaa, olla jouten
eejehtalleme	loma
eejehtidh	viettää aikaa, olla jouten, laiskotella
eejehtimmie	loma
eejhtegh	vanhemmat
eejsedh	panna puita nuotioon, lisätä lämpöä
eensi	taitava, kunnollinen
eensilaakan	kunnolla, hyvin
eeremes	ennen kaikkea
eerkedh	härnätä, ärsyttää
eevre	kokonaan, aivan
ektesne	yhdessä
ektelen	samaan suuntaan
ektine	yhdessä
elmie	taivas; huono sää
enn	kuin
ennje	vielä
faahketji	yhtäkkiä, saman tien
faahtele	(repun) kantohihna
faamoe	voima, tarmo
faatoes	puuttuva; puute; vaiva
faavroes	kaunis
fabrigkebarkije	tehdastyöläinen
faehtie	poron mahalaukku
faelhkiebaernie	sulhanen
Faepmie	Fatmomakke (Ruotsissa)
fahkedh	herätä
fealadidh	kulkea, liikkua	
fealadimmie	matka
fealloe	lauta
fealpere	parsinneula
fearhkasidh	sortua, valua
feete	vati
fehkiehtidh	havahtua
fiejlie	vika, virhe
fïereguhte	jokainen
fïerhne	jokainen
fïerhte	jokainen	
fïerske	tuore
fievsie	navetta
fïjfere	(koivun)pahka
fïjnedh	tulla pidätellyksi, jäädä kiinni
firredh	ravistaa
firrestidh	ravistella (vähän)
foeresjidh	ajaa, kuljettaa
fuehpesne	kiireessä; kiireinen
fuehpie	hoppu, kiire
fuehpiedidh	olla kiireinen, pitää kiirettä
fuehpiemisnie	kiireessä
fuelhkie	perhe, talonväki
fæjroe	tulitikku
föörhkedidh	nauraa
fåvhta	vouti
fååtesidh	puuttua
gaahkasjidh	katsella, töllöttää
gaahkoe	kakku, leipä
gaahkoesnaejrie	leipäviipale
gaahpasjidh	tuijottaa suu ammollaan; ammottaa avoimena
gaahtjedh	kilpailla; kiiruhtaa
gaahtjeme	kilpailu
gaahtoe	kissa
gaajeh	kovin, aivan; kova, kauhea
gaaje	kovin, aivan; kova, kauhea
gaajh	kovin, aivan; kova, kauhea
gaajhke	kaikki
gaajhkene lehkesne	kaikkialla, joka puolella
gaajhkesh	kaikki (yhdessä)
gaajhkesh dovnesh	kaikki (tyynni)	
gaaktsede	kahdeksas
gaale	karsina
gaalkedh	selvittää (verkkoa)
gaalla	aviomies
gaalloe	otsa
gaaloeværsjoe	kylmä kolea sadesää
gaamege	kenkä
gaamese	(poron) koipinahka
gaamhparidh	kaatua kumoon
gaamhparostedh	muksahtaa nurin
gaampe	kampa
gaampestidh	kammata (hiuksensa)
gaamsoe	kampsu, veripalttu
gaamtsehth	käsineittä
gaarhkedh	pakata, paketoida, sitoa
gaarkasidh	purkautua, valua pois
gaarkeles	selvä (vastakohta sotkuiselle)
gaaroe	sytyke, lastu
gaarvoe	vaate
gaasije	juoksutusmaha; juoksute
gaatodh	kadota, olla poissa, viipyä
gaatoelidh	kadota nopeasti
gaavalohke	kesy poro, joka helposti seuraa ihmistä
gaavalahke	kesy poro, joka helposti seuraa ihmistä
gaavelhkrievvie	kesy poro, joka helposti seuraa ihmistä
gaavhtan	vuoksi, tähden; suhteen
gaavmoe	luola, (ketun, karhun) pesä
gaavnedh	löytää
gaavnedidh	tavata, kohdata
gaavnjeres	soikea, pitkulainen
gaavtje	malja, astia
gaavtjetje	pieni malja, pieni astia
gabpe	tunturi, pyöreälakinen vuori
gabpeldidh	kellua
gadtjedh	pissata, kusta
gadtsedh	lusikoida
gadtsegarhke	veijari	
gaedtie	ranta
gaedtiebealesne	rannan puolella
gaegniedidh	kyetä, voida; kelvata
gaejnjele	kainalo
gaejpie	leuka
gaejvie	omia teitään kulkeva poro
gaejvielidh	koota takaisin omia teitään kulkevat porot
gaektsie	kahdeksan
gaeledh	kahlata
gaelpie	vasikka
gaeptie	(miehen) lapintakki 
gaerie	puuvati, (puu)astia
gaertene	(maa)tila
gaerviehtidh	hukata, kadottaa
gaervies	valmis
gahtjedh	pudota, varista
gahtjedidh	putoilla
gahtjehtalledh	pudottaa, pudotella
gahtjehtidh	kaataa, pudottaa; tappaa
gajhkedasse	kuivumaan
gajhkedh	kuivaa, kuivua
gajhkedidh	kuivattaa
gajhkesjidh	kuivattaa
gajhkestehtedh	kuiva(hu)ttaa
gajvedh	kiertää, mennä kiertotietä
galhkedh	lopettaa, saada valmiiksi
galhkove	päättäjäiset
gallanidh	tulla kylläiseksi
gallamidh	tulla kylläiseksi
gallasodtje	kylläinen
gallesh	monet
galmeguelie	pakastekala
galmetjaetsie	kylmä vesi
gamhtse	kinnas, hanska
gaptjedh	peittää
gaptjeldihkie	peitossa
garres	kova
garre	kova
garretjaetsie	viina
gaskebiejjie	päivällinen; keskipäivä
gaskejïjje	keskiyö
gaskese	väliin
gaskevåhkoe	keskiviikko
gaskevahka	keskiviikko
gaskoeh	keskellä, keskeltä
gasngese	kataja
gavtjedh	kaatua selälleen
geahpa	keuhko
geajnoe	tie
geajnoebarkije	tietyöläinen
geajnotje	pikkutie
gearketje	pikkukivi
geegke	tynnyri, astia
geehpehtidh	avata (ammolleen)
geehpes	kevyt, helppo
geehtedh	vahtia, pitää silmällä
geehtedidh	pitää varansa, varoa
geeles	kesy, taluisa
geelkedh	ojentaa, antaa
geelle	(avio)mies
geerjene	iloinen
geerve	huono (säästä); vaikea
geerve	aikuinen
geervedovvedh	aikuistua
geesjelihks	kunnollinen, kelpo
gejhkie	kuiva
gejhkiebearkoe	kuivattu liha
gejhkieguelie	kuivattu kala
gejhkielidh	raadella, repiä
geljies	väljä, leveä
gellie	(kuinka) monta; aika lailla
gellien aejkien	monta kertaa
gelmedh	palella; jäätyä
gertjie	koski, putous
gidtjh	näes
gie	kuka
gie joem	joku
giebnie	(kahvi)pannu, keittoastia
gïebredh	kääriä, pakata
gïebrelgovvedh	kietoutua, sotkeutua
giedtie	poroaita
giedtsies	kapea
gïehtelidh	puuhata, olla tekemässä
gïehtjedidh	katsella, tarkastella, tutkia
gïeje	jälki, kulkuura
gïejetje	pikkujälki
gïeke	käki
gïele	kieli
gïelehtadtje	mykkä
gïelekuvsje	kielikurssi
gïeltegs	jännittävä
gïemhpes	kiltti
gïengele	syvä
gïengeles	syvä
gïerhkeme	kehto, komsio
gieries	rakas
gierkie	kivi
gïertedh	sietää, kärsiä
gïerth mannem	anteeksi
giesedh	vetää
giesege	kesällä
giesie	kesä
giesieeejehtalleme	kesäloma
giesielaante	kesäalue, kesälaidun(maa)
gïete	käsi
gïetetje	kätönen, pikku käsi
gïetedalledh	käsitellä, käyttää
gïeteværjoe	ranneketju
gietjie	(köyden tms.) pää
gietskiebasse	lähemmäksi
gietskiedidh	ojentaa, tuoda lähemmäksi
gievlie	rengas
gïhpe	kerma
gïhpelaejpie	kermakakku
gïhpetje	hiukan kermaa
gihtjedh	kysyä, pyytää
gijhtedh	kiittää
gïjre	kevät
gïjredaelvie	kevättalvi
gïjredidh	tulla kevät
gïjrege	keväällä
gïjregiesie	kevätkesä
gïjreniestie	kevätteuras
gïknjele	kyynel
gïtnjele	kyynel
gïknjelsovvedh	kyyneltyä
gille	muutama
gilledidh	mennä makuulle
gilmetahke	pakastin
gilmehtidh	pakastaa, kylmettää
gïpte	puikkari; puinen verkon koho; alapaulan paino
gïrmedh	kehua
gïrre	kuori, kaarna
girrehke	3 1/3 – 4 1/3 vuotias urosporo
girtie	lentokone
gïsse	paksu
glijreldahkesne	koristeltuna
goebpere	sieni
goedtehtjidh	olla vasomassa
goegkerdidh	ryömiä, kontata
goejesjidh	kuoria, poistaa kuori (puusta)
goekedh	paistaa (aurinko, kuu)
goekedh	päivänpaiste
guakedh	päivänpaiste
goelke	(eläimen) karva
goelkegaamege	karvakenkä, turkiskenkä
goenehth	kova pakkanen
goenehthmåvhka	toppahousut, lämpöhousut
goenehthtråajja	toppatakki, lämpötakki
goenehthtjohpe	toppapipo, lämpöpipo
goenehthvaanhtse	toppalapanen, lämpölapanen
goeredh	seurata jälkiä
goerehtidh	kysellä
goerne	mylly
goerpe	epäonni
goerve	makkara
goese	kuusi(puu)
goeseråhtoe	kuusimetsä
goetsedh	kavuta, juosta
goetsedidh	juoksennella (eläin)	
goeve	joulukuu
goevledh	katsella, tarkastella, tuijottaa
gogkoe	mitä kautta, miltä kohdin, missä
gogka	mitä kautta, miltä kohdin, missä
goh	kun, kuin; sitten
gojhkelovvedh	olla janoinen
golke	lokakuu
golme	kolme
golmeluhkie	kolmekymmentä
golmesh	kolme ihmistä
golteladtedh	kuunnella, totella
goltelidh	kuunnella	
gon	ja (sanan gonnoeh lyhyt muoto)
gonnoeh	ja, yhdessä (toisen) kanssa
goske	kunnes
gosk	kunnes
gosse	minne; kun
gossehts	yskä
govhte	kuusi
govhtede	kuudes	
govjehkåbpoe	nopeampi
govledh	kuulla
govledh	kuulua
govlehtidh	tiedustella
govlijidh	(alkaa) kuulla
guaktegh	kaksi yhdessä
gualijes	kalaisa
guapa	sukka
guapamåvhkah	sukkahousut
guarjasjidh	maata (eläin)
guarkedh	ymmärtää
gubpene	missä
gubpede	mistä (suunnasta)
gudtsene	ole hyvä
gudtsien (aelties)	kiitoksia ruuasta
guedtedh	kantaa; vasoa (poro)
guehpere	kynsi; kopara
guejmie	kanssa; kumppani, toveri
gujmie	kanssa; kumppani, toveri
guektelen	kahtia; kahteen suuntaan
guektiengiertien	kaksin kerroin
guelehts	kalaton
guelie	kala
gueliebarkije	kalatyöntekijä
gueliebarkoesijjie	kalatehdas
gueliebïjle	kalaauto
gueliefealloe	kalalauta
gueliegaahkoeh	kalapullat
guelhtie	kylmä sää kesällä
guelmiedahke	peili
guelpie	lattia
guerkiehtidh	oivaltaa, hoksata
guesehke	4 1/3 – 5 1/3 vuotias urosporo
guessie	vieras
guevtele	tunturi(paljakka); järvenselkä
guhkene	kaukana
guhkiem	kauan
guhkie	pitkä
guhkies	pitkä
guhkie övtebe	kauan sitten
guhte	kuka
guhtsedh	valvoa
gujht	toki, kuitenkin
guksie	pahkakuppi, kuksa
guktemes laakan	mitenkään
guktie	kuinka, miten
guktieh	joten, niin että
gullievæhta	kultamitali
gullieværjoe	kultakoru
gurkedh	kaataa, valaa
gurkestidh	kaataa, valaa hiukan
gurredh	neuloa, kutoa
gusnie	missä
gussene	eipä kestä (kiittää); ole hyvä
gustie	mistä
guvvie	kuva
gyrhkesjidh	käydä kirkossa
gyrhkesjimmie	jumalanpalvelus
gyölledh	pysyä mukana
gyölleme	maksoittunut veri
gyönegs	kelvollinen, sopiva
gyösedh	laahata, laahautua
gyösedidh	laahata (jatkuvasti)
gæbjan	sairas
gæhtsan	roikkumassa
gæjhtoe	kiitos
gæljodh	huutaa
gænnah	kaan, kään
gærhkoe	kirkko
gærhkoenbealloe	kirkonkello
gærja	kirja
gærjabusse	kirja(sto)auto
gærjagåetie	kirjasto
gærjatjaelije	kirjailija
gæstoe	arkku
gævnjasjidh	riippua
gævnjodh	ripustaa
gævnjoestidh	ripustaa
göökte	kaksi
göökteluhkie	kaksikymmentä
göökten haaran	kahteen osaan, kahteen suuntaan
gööktesh	kaksin, kaksi yhdessä
göökti göökti	kaksitellen
gööledh	kalastaa
gööleme	kalastus
göölemekåarhte	kalastuskortti
göölestidh	kalastaa (vähäsen)
göölije	kalastaja
gööthsijjie	kotapaikka
gåabpa	kumpi(kaan)
gåabpatjahkh	kumpikin, molemmat
gåabph	minne, mihin
gåabregidh	käpristyä
gåajkoe	luo, suuntaan
gåajvodh	ammentaa, ottaa ruokaa
gåajvoestidh	ammentaa (vähäsen)
gåalmede	kolmas
gåalodh	palella
gåaltoe	lumipyry; lumivyöry
gåaltoehovme	(sakea) lumipyry
gåamalohke	(poron) umpisuoli
gåangkoeh	käyrä
gåaradidh	sopia, käydä, sujua
gåarodh	ommella
gåaroes	tyhjä
gåaskodh	herättää
gåassodh	olla kylässä, olla kestittävänä
gåassoehtidh	kestitä
gåassoehtæjja	kestitsijä, isäntä
gåatodh	laiduntaa
gåatome	laidun
gåatoemisnie	laiduntamassa
gåeblie	hanki, kinos
gåellie	missä (on)
gåessie	milloin
gåeskie	äidin isosisko
gåeskuve	sisarenlapsi (gåeskielle)
gåetie	talo, koti; kota
gåetiebarkoe	kotityö
gåetieietnie	emäntä
gåetieluhpie	majoitus, yösija
gåetieneastetje	kotitarveporo
