aahka	bestemor
båvne	åsrygg (som er treløs på toppen); lavt snaut fjell omgitt av skog
bååhkesjidh	bake
båårhkeldh	barket; garvet
båårhkesjidh	barke
bægkah	proviant; reisegods; oppakning
bæhta	bit
bæjjese	oppover; opp
bïegke	vind
bïejedh IV	legge; sette
bïenje	hund
bïhkedidh	undervise; rettlede; forklare
bïhte-moere	den nederste spilen som en setter fast i skinnet (reinskinn)
bïjle	bil
bïjvele	varmt
bïksedh IV	gripe fatt i; ta
bïlledh IV	være redd
bïllijidh	bli redd
bïssedh IV	vaske
bööredh VI	by; innby
böötedh VI	bøte; betale bot
daaletje	nå for tiden
daarhve	flekk
daarpesjidh	behøve; trenge
daejredh I	å vite
daelvie	vinter
dagkoe	der
dallah	straks; med en gang
dalvedh IV	komme; komme til syne
dalvese	fjellkam ( mot horisonten)
damhkedh III	komme til rette; komme til syne
damtedh IV	kjenne; føle
darjodh II	gjøre
darjome	gjøremål
darvodh II	tjærebre
dassedh IV	miste
datne	du
dealoe	duk; underlag for å servere mat på
deava	bakke; haug
deejedh VI	legge utover
deere	hannhund; hannrev; hannulv
dejpeladtje	gammeldags; som er fra før i tiden
diedtedh I	tynge på; trykke ned; trykke sammen
dievhtedh I	fylle
dievhtestahke	fyll; fyllmasse
dijjieh	dere
doekedh IV	selge
doengedh IV	lappe; bøte
doestedh IV	våge; tore
domtedh V	kjennes
dotnele	skinnet på undersiden av reinens hode
duakan	bakom
dueljie	reinskinn med hår
dueljie	skinn (med hår)
duvhties	tett
duvhties-laakan	på en tett og kompakt måte
dåajodh II	skjære ris; skjære bar; brekke; bryte	
dåalvodh II	forfølge; sette etter for å nå
dåaresth	tvers over; på tvers
dåemiedidh	oppføre seg; bære seg ad
dåeriedidh	følge
dålle	ild; bål
dåtnoeh	dere to
dåvna	pute; hodepute
dåvvodh II	kastrere
dæjman	i fjor
dængkodh II	bestille; tinge
dïevedh IV	fylles; bli full
dïhte	han; hun; den; det
döömedh VI	tømme
döörhke	kragen; kragefettet (omkring tynntarmen)
eadtjohke	iver, entusiasme
ebrie	regn
edtjedh IV	skulle
eensi	ordentlig
elmie	himmel; luft; uvær; snøfokk med vind
faadta	kveike; nøreved
faaledh IV	tilby
faamoe	kraft; styrke
faehtie	magesekk
faerhmiestidh	omfavne
fahkedh III	våkne
feeledh VI	reise; ferdes
feeredh VI	fare; reise
firrelidh	plutselig riste; skake
foeresjidh	frakte; føre noe et sted hen
fïereguhte	hver og en
fïjnedh IV	hefte seg; bli heftet
föörhkedidh	le
gaahtjedh IV	skynde seg
gaajhkesh	alle sammen
gaalloe	skallehuden av rein; panne
gaallohke	sko av skallehuden
gaamese	belling
gaanedidh	omfavne
gaaredh IV	knytte
gaarhkedh IV	snøre; surre fast
gaarkoehtidh	rekke opp (tarmene)
gaarvanidh	komme bort; forsvinne; bli borte
gaasije	løype; kjese; kjesemage
gaatodh II	bli borte; forsvinne; utebli
gaatske	nylig kastrert hannrein (om høsten, når en har sett at den er riktig kastrert)
gaavnedh IV	finne
gaavnedidh	møtes
gadtere	gang; alle leggskinn (bellinger); margbein; fotsener 
gadtje-råtjka	kjertel (mellom klovene på reinens bakfot)
gadtsese	den delen av bellingen som er nærmest kloven
gaejpie	hake; den fremre delen av underkjevestykket på slaktet rein (danner et stykke for seg)
gaeledh I	vadde; vade
gaervies	ferdig (til bruk) (om mat, klær, ved osv)
gaetskedh I	bite; kastrere ved å bite over testiklene med tennene
gaetskehke	reinokse under første året etter kastrering (dersom den mister hornene)
gahpedh IV	reise seg på to for å slå (om kjørerein)
gahtjedh IV	falle
gahtjehtidh	flå; flekke
gajhkedh IV	tørke; tørkes
gajhkehtestedh I	tørke litt
gajhkesjidh	tørke (skinn, palt, blod m.m)
galhkedh III	slutte; bli ferdig med noe
galkas-aske	oktober
galkedh IV	måtte; skulle; flyte; renne
gallanidh	bli mett; mettes
galmes	kald
gamhtse	skinnhanske
gaptjedh IV	legge over; breie over; lukke dør
garmerdidh	skryte
garmere	stolt
garres	hard; hardt
gaskedh IV	lyne; slå (ild)
geahpoe	lunge
geajnoe	veg
geajnoe-raejkien	etter vegen
gearkeske	steinete
gebrie	hardt føre som bærer
geegke	kagge
geehpehtidh	åpne (døren) på vidt gap
geehpes	lett
geehtedh VI	passe; passe på
geeles	leietam; som kommer etter (om rein)
geelkedh VI	rekke fram; tilby
geerjedh VI	glede
geevledh VI	skjære ut fram- og bakbellinger av en slaktet rein
gellie	mange
gelmedh I	fryse; fryse til
gie	hvem
giebnie	kopperkjele
giedtie	reingjerde
gierkie	stein
giesedh I	dra; trekke
gieseme-moere	"bråkjern" som er laget av tre ( for å trekke skinn gjennom)
gieseme-ruevtie	skavjern, "bråkjern" (som en trekker skinn gjennom)
giesie	sommer
giesiebarkoe	sommerjobb
gijhtedh I	takke
gille	noen få
girtedh I	sveve; kretse
girvene	villig
goekedh IV	skinne (om solen, månen)
goelke	et hår
goeredh IV	følge spor; bevege seg langs noe; følge langsmed noe
goerehtidh	spørre; etterforske; undersøke
goese	gran
goetsedh IV	springe på fire føtter; klatre
goetsehtidh	springe etter; jage på
goeve	desember; frostrøyk
goevledh IV	kikke, se etter
goevte	februar; midt på vinteren
goevtes-moere	langsgående spile til spiling av skinn ( også skalleskinn)
golke	oktober
golkedahke	slutten av brunsttiden
golkedh	slutten av brunsttiden
golkehke	utmattet rein etter brunst
golme	tre
goltelidh	lytte; høre på; lystre
gorredidh	ta vare på; berge; redde
govjehke	overmåte snar; hurtigløper
govledh IV	høre
govledh V	høres
govlijidh	få høre; plutselig få høre
gualijes	fiskerik (om sjø)
guapa	strømpe
guarkedh III	forstå; skjønne
gubpede	hvorfra; fra hvilken kant
gudtsien	takk ( om mat)
guedtedh I	bære
guehpere	negl; klov
guehperen-lïetse	lyden av reinens klover
guelie	fisk
guessie	gjest; fremmed
guhkiem	lenge
guhkies	lang; langt
guhkies-buejtie	den innerste del av tykktarmen ( nærmest småtarmene)
gujredh VI	pistre
gurkedh VI	helle
gyhtsele	snegl
gyvjehke	overmåte snar; en som løper fort; som har god kondisjon; hurtigløper
gyöhpehke	lett
gyösedh V	bli dratt; slepe etter
gåabpatjahkh	begge to
gåabph	hvor; hvor hen
gåajkoe	til
gåajvodh II	øse opp
gåalodh II	fryse
gåamalohke	botningen (blindtarmen hos rein og andre drøvtyggere)
gåarodh II	sy
gåaroes	tom
gåassodh II	være gjest; få bevertning
gåatodh II	beite
gåessie	når
gåetie	hus; gamme
gåetie-sjalja	gårdsplass
gåhkese	langt
gåhtjodh II	kalle; benevne; kalle på
gålkoe	november
gårkasidh	renne
gåvle	løkke av lær (på sko til feste for skoband; på sekk og komse til feste for trekkbånd.)
gåvnahtalledh IV	si farvel (til flere)
gåårestahke	sytråd; senetråd for å sy med
gåårvedidh	kle på seg
gæjhtoe	takk
gæljodh II	rope; skrike
gællasjidh	ligge
gærja	bok
gævnjasjidh	henge (om flere ting)
gævnjodh II	henge opp (flere ting)
gævnjoestidh	henge opp (om en ting)
gïebredh IV	surre rundt noe
gïehtelidh	holde på; streve med noe
gïeltege	den dypere bøyesenen på reinens bakfot
gïerh-gietjie	toppende
gïerte	siderom i reingjerde for skilling
gïesedh IV	surre på seg skoband
gïjre	vår
gïjrege	om våren
gïrse	luftrør
gööledh VI	fiske
haabpe	øverste margbein på reinens framfot
haelieh	pinner som brukes for å spile ut skinn på bakken
hajkedh IV	springe; løpe (om dyr særlig om rein); kaste
hajkodh II	kaste (flere ganger, flere ting)
heevtedh VI	kaste; slenge
hijven	bra
hojjedh IV	klage; jamre
hopsedh V	lukte; gi fra seg lukt
huhtedh I	bjeffe; søke; gjø
hurrie	orrhane
håhkoe	håp
håjradidh	rekke; hyre
håålesjidh	spile ut skinn på bakken til tørk
håålesjimmie	utspilt
hïerpedh IV	skvette til; bli redd
hïnnedh IV	rekke; nå
iehkede	kveld
iehkeds-biejjie	ettermiddag
ierie	ærend
jadtehtidh	legge ut fiskegarn
jaehkedh I	tro; tro på; lite på
jaemedh I	dø
jaksedh IV	nå igjen; innhente; makte; kunne
jallese	vestover
jarkedh III	snu; vende om
jarnge	midt; midtpunkt
jiehtedh I	si
jieledh I	leve
jiesie	rundt hårlag på reinens bakfot på innersiden av hasen
jijhtedh I	komme fram; vise seg; komme til syne; gå opp( om solen)
jirreden	i morgen
joe	allerede, allerede nå
joejkedh IV	joike
joekoen	spesiell; særskilt
johke	elv
joptse	suppe
jovkedh IV	drikke
juakasovvedh	bli delt
juekedh I	dele; dele opp; avdele; dele ut
juelkie	fot; bein
juelkie-bielieh	hull i reinskinn etter framføttene
juhtedh I	flytte; dra; fare hen
jurjiehtidh	lage mat
juvre	dyr; rovdyr
jåarhke-skuvle	videregående skole
jåaskoedehtedh	la avkjøles; la stå og bli avkjølt
jåhtajidh	flytte av sted; bryte opp; dra av sted; fare; dø; begynne å gli; gå av (om skudd)
jånga	bordkniv
jårredh IV	snurre; rulle; gå rundt; danse; vende seg om
jåvle	jul
jåvle-aske	desember
jæjsodh II	rime; bli rimet
jïekedh I	være tett; holde vann ute (om sko)
jïjje	natt
jïjjedidh	overnatte
jïjnje	mye
jïjnjh	mange
jïjse	snøugle
jïjtje	selv
jïlle	høg
klaapsa-spaarra	vanlig horisontal spile til skinn
klaeries	klar
klajkesidh	gale gjentatte ganger; drive på å gale (om gjøk); mase (om barn)
klovse	helt hvit rein (albino)
knugkedh VI	gni; gnugge; massere
kontejnere	konteiner
kraanna	nabo; granne
kreemsedh VI	gripe; ta fatt i
krievvie	reingjord
kritnedh IV	murre; knurre (om hund)
kroehkedh IV	grave; rote
kröövvehtalledh IV	drive på å gjøre noe kroket (flere ting)
laaje	laug
laehpedh I	forlate; la bli igjen; legge igjen
laejpie	brød; flatbrød
latjkedh III	bli enige; komme overens; bli isfri; gå opp (langs land, om sjø)
leejjedh VI	leie (f.eks arbeidshjelp)
leekedh VI	slakte
leekeme-bovtse	slakterein
leekeme-bïjle	slaktebil
leesedh VI	låse
librie	lever
lidtedh VI	jakte etter fugl
lihtieh	kopper og kar; kjørel; dekktøy
lijnie	skal; tørkle
lissiehtidh	forøke; helle på mer; få fatt i mer
loehke	lukket pulk (med lokk og lås)
loejhmedh IV	klage; jamre
loekte	vik; bukt
loevenidh	løsne
loeves	løs
lohkedh IV	lese
lopme	snø
lovvedh IV	bli våt
lovves	våt
luajhtadidh	gå ned (om sola)
luejhtedh I	slippe løs; slippe ut; gi slipp på; la gå
luemtedh I	legge seg og ikke ville gå (om rein)
luste	morsomt
lutnjedh VI	løfte
luvhtedh VI	måtte
luvnie	hos
lyjhkedh V	like
lyövlehke	tung
låesuvh	bjørkekvister lagt samme veg for å legge noe oppå
låevtedh I	anfalle; angripe; gå på
lïene	temperert; lytt
lïepse	isterdekket rundt vomma
lïerhkelidh	drive reinflokken ned fra fjellet til et bestemt sted
lïhtse	ledd; hvirvel
lïhtsege	ryggrad
lïhtsestidh	skjære opp ledd
lööbpedh VI	breie utover
löönedh VI	låne
maadth-gietjie	rotende
maam-akt	et eller annet
maana	barn
maana-baelie	barndom
maehtedh I	kunne
maeksedh I	betale
maelie	blod
magkere	hva slags
manne	jeg
marngedh IV	vrenge; snu; vende tilbake
maskastidh	rynke og sy fast overstykke (altese) på sko
mastedh IV	blande seg; blande seg inn (om rein)
mearhkodh II	merke (reinkalver)
measehke	reinkalvskinn
miedtedh I	feile; synde; gjøre fortred; gjøre urett; gjøre noe galt
miesie	reinkalv
mietie	etter; langsetter
mijjieh	vi
minngemes	sist, til slutt
moehrele	mosters tantebarn
moenedidh	gjette
moere	tre; ved
mojhteladtedh IV	forsøke å huske på mange ting
mojhteleslaakan	med omtanke; forsiktig
mojhtestehtedh I	minne en på noe
mojjehtidh	smile
muadta	pels
muahra	moster ( yngre søster til ens mor)
muerjieh	bær; frukt
mujhtedh I	huske
murhkedh VI	knuse
myövhkes	mjuk; mjuke
måara	knokkel; bein
måaroe	knokkel; bein
måaskedh III	bli fornærmet, bli sur
måaskodh II	bli fornærmet; bli sur
mådtan	syk
måjhtajidh	å komme på; huske
målsodh II	skifte; bytte
mårhkedh III	slås i stykker; gå i stykker
mænngan	siden; etterpå
mænngese	bakover
mïerhkesjidh	merke
mïetske	august; røyte; forråtnelse
mïnnedh IV	gå; ta en tur; besøke
naa guhkiem	nokså lenge
naajedh IV	skjære fint med kniv; risse
naakene	noen
naan aejkien	noen ganger
naavjodh II	ha sykdom; ha udyr i reinflokken; ha nød
napkedh III	slites; bli slitt; utslitt (om klær og sko,skinn)
nastedh	friske på; legge på (ilden)
nastedh IV	karre veden sammen i ilden; friske på ilden; legge på ilden
neeledh VI	skjemme; gjøre ukvass
nejpie	kniv
nejpien-sjapmere	knivbak
nelnie	oppå
nierhkedh IV	begynne; ta fatt igjen
nieskedh I	skrape av kjøtthinnen på skinn under beredning
nieskeme-ruevtie	jern til å skrape skinn med
nieskemegalte	lang, hel stokk til å skrape skinn på
niestie	matrein
niestiesvoesse	nistesekk
nietsege	leggbein
nihtedh I	forby; true; få en til å tie stille
njaamedh IV	tørke noe
njaarege	halskjøtt
njaarpodh II	bli tynnere
njaavhkodh II	mjaue
njaelkie	god
njaelkieslaakan	god; godt på en behagelig måte
njalkedh III	bli hårløs (om skinn som er lagt til avhåring)
njalleme-juelkie	flådd fot
njalles-buejtie	ryggspekk; ryggfett
njelledh I	flå skinn; flekke av never; løype never
njelliestidh	flå; flekke litt
njeltedh I	avhåre (skinn)
njilkehtidh	avhåre
njoektjeme	tunge
njoktje	mars; svane
njuana	tange; nes
njuenehke	de fremste reinene i flokken
njulhtjedh VI	hoppe
njuvvie	strøm (i elv,bekk)
njåalodh II	slikke
njæjhkodh II	gråte (om barn og voksne); pistre (om hund)
noeledh IV	knyte opp; løse opp; kle av
nossedh IV	pusle; fordrive tiden
nuelesne	under
nuhtjedh I	benytte; nytte; bruke
nuhtjedh VI	benytte
nyjsene	kvinne
nyjsenæjja	kvinne
nyöjhkedh V	nekte; avslå
nåajtodh II	spå; trolle
nåake	dårlig
nåaledh IV	snakke; prate
nåalodh II	ymte; snakke frampå
nåejtie	trollmann; sjaman
nårtodh II	gå med på
nåålesidh	løsne
nænnoes	sterk; solid; holdbar
nïejte	jente; ugift datter; kjæreste
nïhpesjidh	kastrere; gjelde
nïlle	oppå
nïmmerh	tynntarmene og tarmfettet til sammen
nöökedh VI	være fornøyd
ohtsedh IV	sakne; savne
ohtsedidh	lete, finne frem
okse	dør
okse	dør (i hus)
oktebisnie	alene; for seg selv
onne	liten
orre	ny; nytt
orrijidh	slutte
paajsanidh	komme seg unna; dra fra sted til sted; holde seg avsides
paanne	steikepanne
peara	potet
peehkedh VI	pakke; sette av sted
plaave	blå
pluevie	myr
pluevie-bealese	til ved siden av myra
plåahkodh II	være nødt til å skratte for det er så komisk
prievie	brev
pruvredh VI	gifte seg
pryövedh V	prøve; forsøke
prïhtjege	kaffe
prïhtjh-giebnie	kaffekjel
påaste	post
raadtehts	den ytterste tarmen med tynt innhold
raajedh IV	sende i veg; beordre
raarahtalledh	rådslå
raarhkeme-stuhtje	skiftingsrein
raarhkoe	reinskilling
raavtedh IV	få kraft (om bark) og virke godt (om barkelåg)
raavtehtje	kraftig; som trekker godt inn (om bark; barklåg)
raavteres	kraftig; som trekker godt inn (om bark; barklåg)
raedtehke	hund (som er flink til å passe kanten av reinhjorden)
raejkie	hull
raejkie-baenie	hulltann
raerhkedh I	skifte; skille rein
rahka	november
rahta	tett granskog; granli; tett skogslandskap
rahtjedh IV	trekke i en bestemt retning ( f.eks om rein som vil tilbake der den har vært før)
rastah	over; tvers over
reejredh VI	tordne; bråke; leke støyende (om barn)
reektedh VI	skrape (skinn)
restiedidh	føre; drive (reinhjord) over elv eller pass
riepie	rev
rihkijahtjedh	begynne å gå i brunst
ringkedh VI	ringe; telefonere
risjnedh VI	sanke ved
roehtedh IV	løpe; springe ( på to, om mennesker og fugler)
ruevtie-raajre	jernbane
ruffie	juni; røytemåned
ryöjredidh	gjøre seg ferdig, gjøre seg reiseklar
råahke	kastrert reinsbukk
råakedh IV	treffe (en person)
råakodh II	bjeffe (om rev)
råanedh IV	tjuvpatte (om reinkalv)
råantjoe	kastrert reinsbukk; trekkrein
råatedh IV	brake (om is)
råavedh IV	lete etter simle (om kalv)
råavkedh IV	grynte ( om simle og kalv)
råhtoe	tett granskog; granli; tett skogslandskap
ræhka	mislykket kastrat
rïhkedahke	paringstid; brunsttid
rïhkede	paringstid; brunsttid; oktober
rïhkijidh	begynne å gå i brunst
rïhpestidh	lukke opp
rïjtedh VI	putte; stikke
rïrresjidh	gnu inn bark (på skinn)
röödtsedh VI	rote og grave
rööpses	rød
saajkardahke	spile for skinn (den går langs siden på skinnet, to på hvert skinn)
saajkardidh	spile skinnet langs sidene med saajkardahkh
saehtedh I	frakte; sende i veg
saejmie	søm
saernie	nyhet
satne	han; hun
seahkoe	klov (av rein og hornkveg)
seahkoe-måarah	knoklene i kloven
seahkoe-voeje	fett kokt av klover
sealkedh III	lande (om båt)
seedtedh VI	sende; kaste
seeptjedh VI	samle; koste; feie; gjøre (flyttveg) klar
sermie	småskog og kratt
sesnie	skinn som er lagt til for avhåring
sietedh I	føre; drive( en flokk)
sijjie	plass; sted
sinsitnie-	hverandre
sjalkedh III	smelte; tine; bråne
sjeakodh II	rydde
sjeavodslaakan	stille; på en lydløs måte
sjeltie	stevne
sjyjjedehtedh	glatte ut; gjøre jevn
sjyjjehke	glatt og jevn
sjåavoehtidh	røre om; røre
sjïdtedh IV	vokse; bli; måtte
sjïehtedh IV	passe; høve; være høvelig
sjïehteles	passende
skaanjedh IV	single; klirre
skeeredh	feie hornene
skeerestidh	begynne å feie hornene
skeerkedh VI	klarne
skilledh VI	vende mot varmen
skirhmedh VI	ødelegge
skitjskiestidh	storle
skodtedh IV	skynde seg
skreepedh VI	skrape
skuvle	skole
skuvledh VI	skylle
skåape	skap
skåerrie	barket skinn (uten hår)
skïemmenidh	ta skade
skïeredahke	brunsttiden; parringstiden
skïerede	brunsttiden; parringstiden; september
skïereme-sarva	grarein som har feiet hornene
slaahpoe	ryggsene ( den store ryggsen på rein)
slaahpoe-soene	ryggsene
slajkedh III	løsne
slearodh II	slenge; kaste(flere ting)
sleegkedh VI	legge i bakken (kalv som skal merkes; grarein som skal kastreres)
sleehpedh VI	spinne senetråd av ryggsene
sleehpeldihkie	er spunnet av ryggsener
sliehtie	sludd; sklette
slonhterdidh	drive dank og ingenting gjøre; være fri
sluekieh	hoder, innvoller, blod m.m ( av dyr som slaktes)
slyöhpedh V	slippe (å gjøre noe)
slïehtehke	snøspurv; sletthøvel
smeejvedh VI	partere (slakt)
smååhkedh V	smake; smake på
snaejrie	skive
snarredh IV	rynke (når en syr)
snjaltje	juli; snauslitt (om skinn)
snjipkedh VI	slippe løs; spenne fra
snööledh VI	beite litt; nappe litt her og der
soen'-åedtjie	ryggfilet; kjøttet langs ryggen på slakt
soene	sene; senetråd
soeve	røyk
soevestaahke	røykt kjøtt
soevestehtedh	røyke kjøtt; røyke fisk
sohpedh IV	skave; spise kjøttbein reint
sommedh IV	hviske; snakke lavt
soptsestidh	fortelle
sovkedh IV	ro; gynge
sovmedh IV	anta; ha mistanke om at
spaajhte	hurtig; rask
spaanesh-ræhkere	sponhøvel
spaarra	spile
speenedh VI	legge spon på bellinger
speerredh VI	spile (skinn, kjøtt, fisk til tørking)
spååredh V	spare
staajne	gjeldsimle; simle som aldri får kalv
staaran	riktig; rett
staare	by
steegkedh VI	stenge
steeredh VI	holde
stilledh VI	sette en til å gjøre noe; tilsi
stoenedh IV	legge uti; hoppe i elva (om et dyr eller en flokk)
stoerre-giebnie	storkjel
stovle	stol
stræjja-voesse	strisekk
stuvredh VI	styre; styre i riktig retning
suehpede	mai; kalvingstiden
suehpede-baelie	kalvingstiden; den tid da de fleste simler kalver
suehpiehtidh	kalve ( om simler)
suejnie	høy; skohøy (sennegress)
suvhpie	asp
svaejlehke	reinokse under første året etter kastrering (men med hornene i behold)
svååredh V	svare
sygkesidh	bli trukket (ut; opp osv)
syhtjegh	sjustjernene
syjhtedh V	passe barn; passe syke og eldre mennesker
såahpodh II	kalve (om simler)
såataskidh	drukne ved å gå gjennom is
såekie	bjørk
såeleme	spire (på horn)
såelie	finne (på fisk)
såemies	en eller annen
såevlie	snøsørpe på is; issørpe
såvnjodh II	ryste (sengklær); banke snø av klær
såvrodh II	surne; bli sur
sååjhtedh V	høve; treffe til
sååle	øy; holme
såålhtedh V	salte
sægkodh II	trekke ut
sæjlodh II	blitt trett; sliten
sïejpe	ulv
sïjhtedh IV	ville
sïjte	sameby; reindistrikt; samegruppe
sïlle	favn(lengdemål); skritt
söönedh VI	trekke ut sener av reinsfot
sööpedh VI	feie; koste
tjaalestidh	snitte opp (skinnet under flåing)
tjaangedh IV	gå inn; stige på; dra ned i skogsbandet (om rein)
tjaebpies	fin; fine
tjaebpieslaakan	på en fin måte
tjaeledh I	risse; skrive
tjaetsie	vann
tjahkasjidh	sitte
tjahtedh IV	kreiste; ta i
tjaktje	høst
tjaktje-giesie	høstsommer; sommerhøst
tjaktjege	om høsten
tjalmese	nettmagen
tjarke	hardt; kraftig
tjearodh II	gråte
tjerkie	skinnet mellom klovene; nederst del av belling
tjetskehke	nysgjerrig
tjidtjie	mor
tjiehpies	hendig; flink; dyktig
tjihkedidh	sette seg
tjimkedh VI	legge kløv
tjoehpedh IV	hugge; skjære
tjoehpestidh	skjære av
tjoejkedh IV	gå på ski
tjoeredh IV	måtte
tjohtjedh V	hige etter; strebe etter
tjonkedh V	pakke ut; rydde opp
tjonne	tjern
tjovve	spiserør
tjulhte	sil
tjulhtedh	sile
tjåadtjodh II	stå
tjåagkedh I	røve reinkalv (om ørn; ta; stjele
tjåagkodh II	karve; skjære eller hakke med knivspiss; karve bort bark med kniv
tjåalhte	lite fjell; knaus
tjåanghkan	sammen
tjåanghkoeh	bunt
tjåarvodh II	rope
tjåarvodh II	rope; rope på; kalle på
tjåejjie	magesekk
tjåentjeme	øvre margbein i bakfoten på rein
tjåervie	horn (på rein osv., også sneglehus; horn som materiale); krone
tjåetskeme	kulde; kaldt vær
tjåhkodh II	kjemme; kamme (skohøy)
tjïektjedh IV	sparke; slå (om puls)
tjïektjes-juelkie	bakfot
tjïrredh VI	sote til
tjöödtjestidh	stanse; stoppe opp
tjöönghkedh VI	samle; plukke
tsaekedh I	putte; stikke inn; ta på seg klær; drive (rein inn i gjerdet)
tsaepmedh I	slå; banke (skohøy)
tsagkedh IV	spenne ut; spile (skinn, skaller, løpemage); pakke
tsagkeldh-dueljie	spilt skinn med spaarrah
tsebpie	leggbein på reinens framfot
tseegkedh VI	sette opp; sette på (f.eks en kjøttgryte for koking)
tsietsedh	kneppe i reinens klover
tsiptsedh I	knipe; klype; klemme
tsuvvedh I	trave; springe med lange skritt (om rein, hest)
tsyögkesidh	reise seg (om håret på hund når den blir sint)
tsåakodh II	falle; synke ( om vannstand)
tsåalhkodh II	hamre; pikke; hakke (om fugl)
tsåapkodh II	bryte, brekke i stykker (flere ting)
tsööpkedh VI	bryte av; brekke
tuhtjedh VI	synes
tyjje	stoff; tøy
tæjmoe	time
ussjedidh	tenke
ussjedimmie	tanke
utnedh I	ha
vaaksjodh II	se til; undersøke; besøke
vaanghka	kjøttet på reinens bakfot
vaanghka-klivvie	haseledd
vaanghka-måara	haseknoke på rein (alle småbeina i hasen på partert rein)
vaarjelidh	forsvare; beskytte; bevare
vaarredh IV	gå; springe; løpe
vaedtsedh I	gå
vaeltedh I	ta
valkedh III	dra; reise samlet avgåre ( om rein)
valkedh-okse	stor åpning i et reingjerde der flokken slippes ut/drives inn
varkedh III	komme seg (av tretthet)
veajedh III	gli; gli av
veana-soene	sene med beinknapp i bakre leggbein
vearelde	vær
veasodh II	leve; oppholde seg; bo
vedtedh I	gi
veedtjedh VI	hente
veeljedh VI	velge
veelkes	hvit
viedtedh I	binde fast; tjore
viehkie	hjelp
viehkiehtidh	hjelpe
viermie	fiskegarn
viertedh I	felle (tre); hugge ned
vissjedh IV	orke; gidde
voejedh IV	svømme
voeledh IV	spikke; spikke til
voene	bygd
voerhtje	april; kråke
voerkedahke	tiden da reinen feier hornene ( i tiden ca 20.aug - 10.sept )
voesse	sekk
voessjedh IV	koke
vuajnajidh	få øye på
vuarhkeme-sarva	grarein som har feiet hornene
vuartasjidh	se på; betrakte
vuehtedh I	spore; spore opp; følge sporet
vuejedh I	kjøre
vuejnedh I	se
vuekie	skikk; bruk; måte
vuelelen	nedenfor
vuelie-raedtie	nedre kant; nederkanten (av noe)
vuelkedh I	reise
vuertedh I	vente
vuetjedh I	skyte
vuhtsedh I	galoppere
vytnesjidh	gjøre håndarbeid; arbeide med hendene(f.eks sy); forarbeide
