1.1.	uđđâivemáánu vuossâmuš peeivi 
24.2.	kuovâmáánu kyehtnubálovváádniäljád peeivi 

25.2.	kuovâmáánu kyehtnubálovváádviiđâd peeivi 

26.2.	kuovâmáánu kyehtnubálovváádkuuđâd peeivi 

27.2.	kuovâmáánu kyehtnubálovváádčiččâd peeivi 

28.2.	kuovâmáánu kyehtnubálovváádkáávcád peeivi 

29.2.	kuovâmáánu kyehtnubálovváádoovcád peeivi 

1.3.	njuhčâmáánu vuossâmuš peeivi 

2.3.	njuhčâmáánu nubbe peeivi 

3.3.	njuhčâmáánu kuálmád peeivi 

4.3.	njuhčâmáánu niäljád peeivi 

5.3.	njuhčâmáánu viiđât peeivi 

6.3.	njuhčâmáánu kuuđâd peeivi 

7.3.	njuhčâmáánu čiččâd peeivi 

8.3.	njuhčâmáánu káávcád peeivi 

9.3.	njuhčâmáánu oovcád peeivi 

10.3.	njuhčâmáánu lovváád peeivi 

11.3.	njuhčâmáánu oktnubálovvááđ peeivi 

12.3.	njuhčâmáánu kyehtnubálovvááđ peeivi 

13.3.	njuhčâmáánu kulmânubálovvááđ peeivi 

14.3.	njuhčâmáánu neljinubálovvááđ peeivi 

15.3.	njuhčâmáánu vittnubálovvááđ peeivi 

16.3.	njuhčâmáánu kuttnubálovvááđ peeivi 

17.3.	njuhčâmáánu čiččâmnubálovvááđ peeivi 

18.3.	njuhčâmáánu käävcinubálovvááđ peeivi 

19.3.	njuhčâmáánu oovcenubálovvááđ peeivi 

20.3.	njuhčâmáánu kyehtnubálovváád peeivi 

21.3.	njuhčâmáánu kyehtnubálovváádvuossâmuš peeivi 

22.3.	njuhčâmáánu kyehtnubálovváádnubbe peeivi 

23.3.	njuhčâmáánu kyehtnubálovváádkuálmád peeivi 

24.3.	njuhčâmáánu kyehtnubálovváádniäljád peeivi 

25.3.	njuhčâmáánu kyehtnubálovváádviiđâd peeivi 

26.3.	njuhčâmáánu kyehtnubálovváádkuuđâd peeivi 

27.3.	njuhčâmáánu kyehtnubálovváádčiččâd peeivi 

28.3.	njuhčâmáánu kyehtnubálovváádkáávcád peeivi 

29.3.	njuhčâmáánu kyehtnubálovváádoovcád peeivi 

30.3.	njuhčâmáánu kulmâlovváád peeivi 

31.3.	njuhčâmáánu kulmâlovváádvuossâmuš peeivi 

1.4.	cuáŋuimáánu vuossâmuš peeivi 

2.4.	cuáŋuimáánu nubbe peeivi 

3.4.	cuáŋuimáánu kuálmád peeivi 

4.4.	cuáŋuimáánu niäljád peeivi 

5.4.	cuáŋuimáánu viiđât peeivi 

6.4.	cuáŋuimáánu kuuđâd peeivi 

7.4.	cuáŋuimáánu čiččâd peeivi 

8.4.	cuáŋuimáánu káávcád peeivi 

9.4.	cuáŋuimáánu oovcád peeivi 

10.4.	cuáŋuimáánu lovváád peeivi 

11.4.	cuáŋuimáánu oktnubálovvááđ peeivi 

12.4.	cuáŋuimáánu kyehtnubálovvááđ peeivi 

13.4.	cuáŋuimáánu kulmânubálovvááđ peeivi 

14.4.	cuáŋuimáánu neljinubálovvááđ peeivi 

15.4.	cuáŋuimáánu vittnubálovvááđ peeivi 

16.4.	cuáŋuimáánu kuttnubálovvááđ peeivi 

17.4.	cuáŋuimáánu čiččâmnubálovvááđ peeivi 

18.4.	cuáŋuimáánu käävcinubálovvááđ peeivi 

19.4.	cuáŋuimáánu oovcenubálovvááđ peeivi 

20.4.	cuáŋuimáánu kyehtnubálovváád peeivi 

21.4.	cuáŋuimáánu kyehtnubálovváádvuossâmuš peeivi 

22.4.	cuáŋuimáánu kyehtnubálovváádnubbe peeivi 

23.4.	cuáŋuimáánu kyehtnubálovváádkuálmád peeivi 

24.4.	cuáŋuimáánu kyehtnubálovváádniäljád peeivi 

25.4.	cuáŋuimáánu kyehtnubálovváádviiđâd peeivi 

26.4.	cuáŋuimáánu kyehtnubálovváádkuuđâd peeivi 

27.4.	cuáŋuimáánu kyehtnubálovváádčiččâd peeivi 

28.4.	cuáŋuimáánu kyehtnubálovváádkáávcád peeivi 

29.4.	cuáŋuimáánu kyehtnubálovváádoovcád peeivi 

30.4.	cuáŋuimáánu kulmâlovváád peeivi 

1.5.	vyesimáánu vuossâmuš peeivi 

2.5.	vyesimáánu nubbe peeivi 

3.5.	vyesimáánu kuálmád peeivi 

4.5.	vyesimáánu niäljád peeivi 

5.5.	vyesimáánu viiđât peeivi 

6.5.	vyesimáánu kuuđâd peeivi 

7.5.	vyesimáánu čiččâd peeivi 

8.5.	vyesimáánu káávcád peeivi 

9.5.	vyesimáánu oovcád peeivi 

10.5.	vyesimáánu lovváád peeivi 

11.5.	vyesimáánu oktnubálovvááđ peeivi 

12.5.	vyesimáánu kyehtnubálovvááđ peeivi 

13.5.	vyesimáánu kulmânubálovvááđ peeivi 

14.5.	vyesimáánu neljinubálovvááđ peeivi 

15.5.	vyesimáánu vittnubálovvááđ peeivi 

16.5.	vyesimáánu kuttnubálovvááđ peeivi 

17.5.	vyesimáánu čiččâmnubálovvááđ peeivi 

18.5.	vyesimáánu käävcinubálovvááđ peeivi 

19.5.	vyesimáánu oovcenubálovvááđ peeivi 

20.5.	vyesimáánu kyehtnubálovváád peeivi 

21.5.	vyesimáánu kyehtnubálovváádvuossâmuš peeivi 

22.5.	vyesimáánu kyehtnubálovváádnubbe peeivi 

23.5.	vyesimáánu kyehtnubálovváádkuálmád peeivi 

24.5.	vyesimáánu kyehtnubálovváádniäljád peeivi 

25.5.	vyesimáánu kyehtnubálovváádviiđâd peeivi 

26.5.	vyesimáánu kyehtnubálovváádkuuđâd peeivi 

27.5.	vyesimáánu kyehtnubálovváádčiččâd peeivi 

28.5.	vyesimáánu kyehtnubálovváádkáávcád peeivi 

29.5.	vyesimáánu kyehtnubálovváádoovcád peeivi 

30.5.	vyesimáánu kulmâlovváád peeivi 

31.5.	vyesimáánu kulmâlovváádvuossâmuš peeivi 

1.6.	kesimáánu vuossâmuš peeivi 

2.6.	kesimáánu nubbe peeivi 

3.6.	kesimáánu kuálmád peeivi 

4.6.	kesimáánu niäljád peeivi 

5.6.	kesimáánu viiđât peeivi 

6.6.	kesimáánu kuuđâd peeivi 

7.6.	kesimáánu čiččâd peeivi 

8.6.	kesimáánu káávcád peeivi 

9.6.	kesimáánu oovcád peeivi 

10.6.	kesimáánu lovváád peeivi 

11.6.	kesimáánu oktnubálovvááđ peeivi 

12.6.	kesimáánu kyehtnubálovvááđ peeivi 

13.6.	kesimáánu kulmânubálovvááđ peeivi 

14.6.	kesimáánu neljinubálovvááđ peeivi 

15.6.	kesimáánu vittnubálovvááđ peeivi 

16.6.	kesimáánu kuttnubálovvááđ peeivi 

17.6.	kesimáánu čiččâmnubálovvááđ peeivi 

18.6.	kesimáánu käävcinubálovvááđ peeivi 

19.6.	kesimáánu oovcenubálovvááđ peeivi 

20.6.	kesimáánu kyehtnubálovváád peeivi 

21.6.	kesimáánu kyehtnubálovváádvuossâmuš peeivi 

22.6.	kesimáánu kyehtnubálovváádnubbe peeivi 

23.6.	kesimáánu kyehtnubálovváádkuálmád peeivi 

24.6.	kesimáánu kyehtnubálovváádniäljád peeivi 

25.6.	kesimáánu kyehtnubálovváádviiđâd peeivi 

26.6.	kesimáánu kyehtnubálovváádkuuđâd peeivi 

27.6.	kesimáánu kyehtnubálovváádčiččâd peeivi 

28.6.	kesimáánu kyehtnubálovváádkáávcád peeivi 

29.6.	kesimáánu kyehtnubálovváádoovcád peeivi 

30.6.	kesimáánu kulmâlovváád peeivi 

1.7.	syeinimáánu vuossâmuš peeivi 

2.7.	syeinimáánu nubbe peeivi 

3.7.	syeinimáánu kuálmád peeivi 

4.7.	syeinimáánu niäljád peeivi 

5.7.	syeinimáánu viiđât peeivi 

6.7.	syeinimáánu kuuđâd peeivi 

7.7.	syeinimáánu čiččâd peeivi 

8.7.	syeinimáánu káávcád peeivi 

9.7.	syeinimáánu oovcád peeivi 

10.7.	syeinimáánu lovváád peeivi 

11.7.	syeinimáánu oktnubálovvááđ peeivi 

12.7.	syeinimáánu kyehtnubálovvááđ peeivi 

13.7.	syeinimáánu kulmânubálovvááđ peeivi 

14.7.	syeinimáánu neljinubálovvááđ peeivi 

15.7.	syeinimáánu vittnubálovvááđ peeivi 

16.7.	syeinimáánu kuttnubálovvááđ peeivi 

17.7.	syeinimáánu čiččâmnubálovvááđ peeivi 

18.7.	syeinimáánu käävcinubálovvááđ peeivi 

19.7.	syeinimáánu oovcenubálovvááđ peeivi 

20.7.	syeinimáánu kyehtnubálovváád peeivi 

21.7.	syeinimáánu kyehtnubálovváádvuossâmuš peeivi 

22.7.	syeinimáánu kyehtnubálovváádnubbe peeivi 

23.7.	syeinimáánu kyehtnubálovváádkuálmád peeivi 

24.7.	syeinimáánu kyehtnubálovváádniäljád peeivi 

25.7.	syeinimáánu kyehtnubálovváádviiđâd peeivi 

26.7.	syeinimáánu kyehtnubálovváádkuuđâd peeivi 

27.7.	syeinimáánu kyehtnubálovváádčiččâd peeivi 

28.7.	syeinimáánu kyehtnubálovváádkáávcád peeivi 

29.7.	syeinimáánu kyehtnubálovváádoovcád peeivi 

30.7.	syeinimáánu kulmâlovváád peeivi 

31.7.	syeinimáánu kulmâlovváádvuossâmuš peeivi 

1.8.	porgemáánu vuossâmuš peeivi 

2.8.	porgemáánu nubbe peeivi 

3.8.	porgemáánu kuálmád peeivi 

4.8.	porgemáánu niäljád peeivi 

5.8.	porgemáánu viiđât peeivi 

6.8.	porgemáánu kuuđâd peeivi 

7.8.	porgemáánu čiččâd peeivi 

8.8.	porgemáánu káávcád peeivi 

9.8.	porgemáánu oovcád peeivi 

10.8.	porgemáánu lovváád peeivi 

11.8.	porgemáánu oktnubálovvááđ peeivi 

12.8.	porgemáánu kyehtnubálovvááđ peeivi 

13.8.	porgemáánu kulmânubálovvááđ peeivi 

14.8.	porgemáánu neljinubálovvááđ peeivi 

15.8.	porgemáánu vittnubálovvááđ peeivi 

16.8.	porgemáánu kuttnubálovvááđ peeivi 

17.8.	porgemáánu čiččâmnubálovvááđ peeivi 

18.8.	porgemáánu käävcinubálovvááđ peeivi 

19.8.	porgemáánu oovcenubálovvááđ peeivi 

20.8.	porgemáánu kyehtnubálovváád peeivi 

21.8.	porgemáánu kyehtnubálovváádvuossâmuš peeivi 

22.8.	porgemáánu kyehtnubálovváádnubbe peeivi 

23.8.	porgemáánu kyehtnubálovváádkuálmád peeivi 

24.8.	porgemáánu kyehtnubálovváádniäljád peeivi 

25.8.	porgemáánu kyehtnubálovváádviiđâd peeivi 

26.8.	porgemáánu kyehtnubálovváádkuuđâd peeivi 

27.8.	porgemáánu kyehtnubálovváádčiččâd peeivi 

28.8.	porgemáánu kyehtnubálovváádkáávcád peeivi 

29.8.	porgemáánu kyehtnubálovváádoovcád peeivi 

30.8.	porgemáánu kulmâlovváád peeivi 

31.8.	porgemáánu kulmâlovváádvuossâmuš peeivi 

1.9.	čohčâmáánu vuossâmuš peeivi 

2.9.	čohčâmáánu nubbe peeivi 

3.9.	čohčâmáánu kuálmád peeivi 

4.9.	čohčâmáánu niäljád peeivi 

5.9.	čohčâmáánu viiđât peeivi 

6.9.	čohčâmáánu kuuđâd peeivi 

7.9.	čohčâmáánu čiččâd peeivi 

8.9.	čohčâmáánu káávcád peeivi 

9.9.	čohčâmáánu oovcád peeivi 

10.9.	čohčâmáánu lovváád peeivi 

11.9.	čohčâmáánu oktnubálovvááđ peeivi 

12.9.	čohčâmáánu kyehtnubálovvááđ peeivi 

13.9.	čohčâmáánu kulmânubálovvááđ peeivi 

14.9.	čohčâmáánu neljinubálovvááđ peeivi 

15.9.	čohčâmáánu vittnubálovvááđ peeivi 

16.9.	čohčâmáánu kuttnubálovvááđ peeivi 

17.9.	čohčâmáánu čiččâmnubálovvááđ peeivi 

18.9.	čohčâmáánu käävcinubálovvááđ peeivi 

19.9.	čohčâmáánu oovcenubálovvááđ peeivi 

20.9.	čohčâmáánu kyehtnubálovváád peeivi 

21.9.	čohčâmáánu kyehtnubálovváádvuossâmuš peeivi 

22.9.	čohčâmáánu kyehtnubálovváádnubbe peeivi 

23.9.	čohčâmáánu kyehtnubálovváádkuálmád peeivi 

24.9.	čohčâmáánu kyehtnubálovváádniäljád peeivi 

25.9.	čohčâmáánu kyehtnubálovváádviiđâd peeivi 

26.9.	čohčâmáánu kyehtnubálovváádkuuđâd peeivi 

27.9.	čohčâmáánu kyehtnubálovváádčiččâd peeivi 

28.9.	čohčâmáánu kyehtnubálovváádkáávcád peeivi 

29.9.	čohčâmáánu kyehtnubálovváádoovcád peeivi 

30.9.	čohčâmáánu kulmâlovváád peeivi 

1.10.	roovvâdmáánu vuossâmuš peeivi 

2.10.	roovvâdmáánu nubbe peeivi 

3.10.	roovvâdmáánu kuálmád peeivi 

4.10.	roovvâdmáánu niäljád peeivi 

5.10.	roovvâdmáánu viiđât peeivi 

6.10.	roovvâdmáánu kuuđâd peeivi 

7.10.	roovvâdmáánu čiččâd peeivi 

8.10.	roovvâdmáánu káávcád peeivi 

9.10.	roovvâdmáánu oovcád peeivi 

10.10.	roovvâdmáánu lovváád peeivi 

11.10.	roovvâdmáánu oktnubálovvááđ peeivi 

12.10.	roovvâdmáánu kyehtnubálovvááđ peeivi 

13.10.	roovvâdmáánu kulmânubálovvááđ peeivi 

14.10.	roovvâdmáánu neljinubálovvááđ peeivi 

15.10.	roovvâdmáánu vittnubálovvááđ peeivi 

16.10.	roovvâdmáánu kuttnubálovvááđ peeivi 

17.10.	roovvâdmáánu čiččâmnubálovvááđ peeivi 

18.10.	roovvâdmáánu käävcinubálovvááđ peeivi 

19.10.	roovvâdmáánu oovcenubálovvááđ peeivi 

20.10.	roovvâdmáánu kyehtnubálovváád peeivi 

21.10.	roovvâdmáánu kyehtnubálovváádvuossâmuš peeivi 

22.10.	roovvâdmáánu kyehtnubálovváádnubbe peeivi 

23.10.	roovvâdmáánu kyehtnubálovváádkuálmád peeivi 

24.10.	roovvâdmáánu kyehtnubálovváádniäljád peeivi 

25.10.	roovvâdmáánu kyehtnubálovváádviiđâd peeivi 

26.10.	roovvâdmáánu kyehtnubálovváádkuuđâd peeivi 

27.10.	roovvâdmáánu kyehtnubálovváádčiččâd peeivi 

28.10.	roovvâdmáánu kyehtnubálovváádkáávcád peeivi 

29.10.	roovvâdmáánu kyehtnubálovváádoovcád peeivi 

30.10.	roovvâdmáánu kulmâlovváád peeivi 

31.10.	roovvâdmáánu kulmâlovváádvuossâmuš peeivi 

1.11.	skammâmáánu vuossâmuš peeivi 

2.11.	skammâmáánu nubbe peeivi 

3.11.	skammâmáánu kuálmád peeivi 

4.11.	skammâmáánu niäljád peeivi 

5.11.	skammâmáánu viiđât peeivi 

6.11.	skammâmáánu kuuđâd peeivi 

7.11.	skammâmáánu čiččâd peeivi 

8.11.	skammâmáánu káávcád peeivi 

9.11.	skammâmáánu oovcád peeivi 

10.11.	skammâmáánu lovváád peeivi 

11.11.	skammâmáánu oktnubálovvááđ peeivi 

12.11.	skammâmáánu kyehtnubálovvááđ peeivi 

13.11.	skammâmáánu kulmânubálovvááđ peeivi 

14.11.	skammâmáánu neljinubálovvááđ peeivi 

15.11.	skammâmáánu vittnubálovvááđ peeivi 

16.11.	skammâmáánu kuttnubálovvááđ peeivi 

17.11.	skammâmáánu čiččâmnubálovvááđ peeivi 

18.11.	skammâmáánu käävcinubálovvááđ peeivi 

19.11.	skammâmáánu oovcenubálovvááđ peeivi 

20.11.	skammâmáánu kyehtnubálovváád peeivi 

21.11.	skammâmáánu kyehtnubálovváádvuossâmuš peeivi 

22.11.	skammâmáánu kyehtnubálovváádnubbe peeivi 

23.11.	skammâmáánu kyehtnubálovváádkuálmád peeivi 

24.11.	skammâmáánu kyehtnubálovváádniäljád peeivi 

25.11.	skammâmáánu kyehtnubálovváádviiđâd peeivi 

26.11.	skammâmáánu kyehtnubálovváádkuuđâd peeivi 

27.11.	skammâmáánu kyehtnubálovváádčiččâd peeivi 

28.11.	skammâmáánu kyehtnubálovváádkáávcád peeivi 

29.11.	skammâmáánu kyehtnubálovváádoovcád peeivi 

30.11.	skammâmáánu kulmâlovváád peeivi 

1.12.	juovlâmáánu vuossâmuš peeivi 

2.12.	juovlâmáánu nubbe peeivi 

3.12.	juovlâmáánu kuálmád peeivi 

4.12.	juovlâmáánu niäljád peeivi 

5.12.	juovlâmáánu viiđât peeivi 

6.12.	juovlâmáánu kuuđâd peeivi 

7.12.	juovlâmáánu čiččâd peeivi 

8.12.	juovlâmáánu káávcád peeivi 

9.12.	juovlâmáánu oovcád peeivi 

10.12.	juovlâmáánu lovváád peeivi 

11.12.	juovlâmáánu oktnubálovvááđ peeivi 

12.12.	juovlâmáánu kyehtnubálovvááđ peeivi 

13.12.	juovlâmáánu kulmânubálovvááđ peeivi 

14.12.	juovlâmáánu neljinubálovvááđ peeivi 

15.12.	juovlâmáánu vittnubálovvááđ peeivi 

16.12.	juovlâmáánu kuttnubálovvááđ peeivi 

17.12.	juovlâmáánu čiččâmnubálovvááđ peeivi 

18.12.	juovlâmáánu käävcinubálovvááđ peeivi 

19.12.	juovlâmáánu oovcenubálovvááđ peeivi 

20.12.	juovlâmáánu kyehtnubálovváád peeivi 

21.12.	juovlâmáánu kyehtnubálovváádvuossâmuš peeivi 

22.12.	juovlâmáánu kyehtnubálovváádnubbe peeivi 

23.12.	juovlâmáánu kyehtnubálovváádkuálmád peeivi 

24.12.	juovlâmáánu kyehtnubálovváádniäljád peeivi 

25.12.	juovlâmáánu kyehtnubálovváádviiđâd peeivi 

26.12.	juovlâmáánu kyehtnubálovváádkuuđâd peeivi 

27.12.	juovlâmáánu kyehtnubálovváádčiččâd peeivi 

28.12.	juovlâmáánu kyehtnubálovváádkáávcád peeivi 

29.12.	juovlâmáánu kyehtnubálovváádoovcád peeivi 

30.12.	juovlâmáánu kulmâlovváád peeivi 

31.12.	juovlâmáánu kulmâlovváádvuossâmuš peeivi 

